家
嘗
色
索
塞
生
西
書
序
恕
緖
徐
署
暑
敍
逝
庶
誓
夕
席
石
惜
釋
昔
析
先
線
鮮
仙
善
選
船
宣
禪
旋
雪
說
設
舌
攝
涉
姓
成
省
性
誠
聲
盛
聖
城
星
世
洗
歲
勢
稅
細
小
少
所
消
笑
掃
素
訴
燒
疏
蘇
召
昭
蔬
騷
速
束
續
俗
屬
粟
孫
損
送
頌
松
訟
誦
鎖
刷
衰
水
手
數
樹
首
修
受
守
授
收
秀
愁
壽
帥
殊
輸
隨
需
垂
獸
睡
須
雖
誰
搜
囚
遂
宿
叔
肅
淑
熟
孰
順
純
旬
瞬
巡
循
殉
脣
術
述
戌
崇
習
濕
拾
襲
勝
承
乘
昇
僧
時
市
始
示
詩
試
視
施
是
侍
矢
食
植
式
識
息
飾
身
神
信
新
臣
申
愼
辛
伸
晨
室
失
實
心
深
甚
審
尋
十
雙
氏
兒
雅
我
阿
亞
芽
牙
餓
惡
岳
安
案
眼
顔
岸
雁
謁
暗
巖
壓
押
仰
央
殃
愛
哀
涯
液
額
厄
夜
野
也
耶
弱
藥
約
若
躍
陽
洋
養
羊
樣
讓
壤
揚
楊
語
漁
魚
御
於
億
憶
抑
言
焉
嚴
業
餘
如
與
輿
汝
余
予
逆
域
易
疫
亦
役
譯
驛
然
煙
硏
演
燃
鉛
緣
延
沿
軟
宴
燕
熱
悅
閱
染
鹽
炎
葉
英
永
榮
迎
映
營
影
詠
泳
藝
豫
譽
銳
五
午
誤
烏
悟
嗚
娛
吾
傲
汚
屋
玉
獄
溫
擁
翁
瓦
臥
完
緩
曰
王
往
外
畏
要
曜
謠
遙
腰
搖
浴
慾
欲
辱
勇
用
容
庸
右
友
雨
牛
優
遇
郵
憂
偶
宇
愚
羽
于
尤
又
運
雲
韻
云
雄
園
遠
元
原
院
願
圓
員
怨
援
源
月
越
偉
位
衛
爲
圍
委
威
慰
危
胃
僞
謂
違
緯
有
由
油
遊
乳
儒
遺
猶
幽
幼
柔
維
裕
誘
悠
唯
酉
愈
惟
育
肉
潤
閏
銀
恩
隱
乙
音
飮
陰
淫
吟
邑
泣
應
凝
意
醫
衣
議
義
依
儀
疑
矣
宜
二
以
耳
移
異
已
而
夷
益
翼
人
因
印
引
認
仁
忍
寅
姻
一
日
逸
任
壬
賃
入
子
自
字
者
資
姿
姉
紫
慈
刺
恣
玆
作
昨
酌
爵
殘
暫
潛
雜
長
場
章
將
障
獎
裝
腸
張
壯
帳
莊
葬
臟
粧
掌
丈
藏
墻
才
在
財
材
災
再
栽
裁
載
哉
宰
爭
貯
低
底
著
抵
的
赤
敵
積
籍
適
績
賊
跡
寂
笛
摘
蹟
滴
電
前
全
戰
傳
典
展
田
專
轉
錢
殿
節
切
絶
折
竊
店
點
占
漸
接
蝶
正
庭
定
情
停
政
程
精
靜
丁
整
淨
頂
井
亭
廷
貞
征
訂
弟
第
題
濟
提
制
製
除
際
祭
帝
諸
齊
堤
祖
朝
調
操
鳥
助
早
造
條
潮
組
租
照
兆
燥
弔
足
族
尊
存
卒
拙
種
終
宗
鍾
從
縱
左
座
坐
佐
罪
住
主
注
晝
週
州
走
酒
朱
周
柱
珠
株
奏
洲
鑄
宙
舟
竹
準
遵
俊
中
重
衆
仲
卽
增
證
憎
曾
症
蒸
贈
紙
地
知
止
志
指
支
至
持
智
誌
之
池
枝
只
遲
直
職
織
進
眞
珍
盡
陣
陳
震
鎭
辰
振
質
疾
秩
姪
集
執
徵
懲
次
差
此
借
且
着
錯
捉
讚
贊
察
參
慙
慘
窓
唱
創
昌
蒼
倉
暢
採
債
彩
菜
責
冊
策
處
妻
尺
戚
拓
斥
千
天
川
泉
踐
賤
淺
遷
薦
鐵
哲
徹
尖
添
妾
靑
淸
請
聽
廳
晴
體
滯
遞
逮
替
草
初
招
超
肖
礎
抄
秒
觸
促
燭
寸
村
總
銃
聰
最
催
秋
推
追
醜
抽
祝
築
蓄
縮
畜
逐
丑
春
出
充
忠
蟲
衝
取
就
趣
吹
醉
臭
測
側
層
致
治
置
齒
値
恥
稚
則
親
七
漆
侵
寢
針
浸
沈
枕
稱
快
他
打
妥
墮
卓
托
濁
濯
炭
歎
彈
誕
脫
奪
探
貪
塔
湯
太
態
殆
泰
怠
宅
擇
澤
土
討
吐
兔
通
統
痛
退
投
鬪
透
特
波
破
派
播
把
罷
頗
板
判
版
販
八
敗
貝
便
篇
編
片
偏
遍
平
評
閉
肺
廢
弊
幣
蔽
砲
包
布
胞
捕
浦
抱
飽
暴
爆
幅
表
票
標
漂
品
風
豊
楓
疲
避
被
皮
彼
必
筆
畢
匹
下
夏
河
荷
賀
何
學
鶴
韓
漢
寒
限
閑
恨
汗
旱
割
含
陷
咸
合
航
港
抗
恒
項
巷
海
害
解
亥
奚
該
核
幸
行
向
鄕
香
響
享
許
虛
憲
獻
軒
驗
險
革
現
賢
顯
懸
玄
絃
縣
血
穴
嫌
協
脅
兄
形
刑
衡
亨
螢
惠
慧
兮
號
湖
好
戶
護
呼
浩
豪
胡
虎
乎
互
毫
或
惑
婚
混
魂
昏
忽
紅
洪
鴻
弘
火
話
花
和
畫
化
貨
華
禍
禾
確
穫
擴
患
歡
環
還
換
丸
活
黃
況
皇
荒
會
回
灰
懷
悔
獲
劃
橫
孝
效
曉
後
厚
候
侯
訓
毁
揮
輝
休
携
凶
胸
黑
吸
興
希
喜
稀
戲
