hanja,kor,radical,total_num_of_strokes,level,level_sort,rep_pron
飜,번역할 번,飛,21획,3급,3__,번
罰,벌할 벌,网,14획,준4급,4ii,벌
伐,칠 벌,人,6획,준4급,4ii,벌
範,법 범,竹,15획,4급,4__,범
凡,무릇 범,几,3획,준3급,3ii,범
犯,범할 범,犬,5획,4급,4__,범
法,법 법,水,8획,준5급,5ii,법
碧,푸를 벽,石,14획,준3급,3ii,벽
壁,벽 벽,土,16획,준4급,4ii,벽
辨,분별할 변,辛,16획,3급,3__,변
邊,가 변,辵,19획,준4급,4ii,변
辯,말씀 변,辛,21획,4급,4__,변
變,변할 변,言,23획,준5급,5ii,변
別,다를/나눌 별,刀,7획,6급,6__,별
病,병 병,疒,10획,6급,6__,병
竝,나란히 병,立,10획,3급,3__,병
屛,병풍 병,尸,11획,3급,3__,병
丙,남녘 병,一,5획,준3급,3ii,병
兵,병사 병,八,7획,준5급,5ii,병
補,기울 보,衣,12획,준3급,3ii,보
普,넓을 보,日,12획,4급,4__,보
報,갚을/알릴 보,土,12획,준4급,4ii,보
譜,족보 보,言,19획,준3급,3ii,보
寶,보배 보,宀,20획,준4급,4ii,보
步,걸음 보,止,7획,준4급,4ii,보
保,지킬 보,人,9획,준4급,4ii,보
復,회복할 복|다시 부,彳,12획,준4급,4ii,복
腹,배 복,肉,13획,준3급,3ii,복
福,복 복,示,14획,준5급,5ii,복
複,겹칠 복,衣,14획,4급,4__,복
卜,점 복,卜,2획,3급,3__,복
伏,엎드릴 복,人,6획,4급,4__,복
服,옷 복,月,8획,6급,6__,복
本,근본 본,木,5획,6급,6__,본
峯,봉우리 봉,山,10획,준3급,3ii,봉
逢,만날 봉,辵,11획,준3급,3ii,봉
蜂,벌 봉,虫,13획,3급,3__,봉
鳳,봉새 봉,鳥,14획,준3급,3ii,봉
奉,받들 봉,大,8획,준5급,5ii,봉
封,봉할 봉,寸,9획,준3급,3ii,봉
浮,뜰 부,水,10획,준3급,3ii,부
部,떼 부,邑,11획,준6급,6ii,부
符,부호 부,竹,11획,준3급,3ii,부
副,버금 부,刀,11획,준4급,4ii,부
婦,며느리 부,女,11획,준4급,4ii,부
富,부자 부,宀,12획,준4급,4ii,부
腐,썩을 부,肉,14획,준3급,3ii,부
賦,부세 부,貝,15획,준3급,3ii,부
覆,덮을 부|다시 복,襾,18획,준3급,3ii,부
簿,문서 부,竹,19획,준3급,3ii,부
父,아비 부,父,4획,8급,8__,부
夫,지아비 부,大,4획,7급,7__,부
付,부칠 부,人,5획,준3급,3ii,부
扶,도울 부,手,7획,준3급,3ii,부
否,아닐 부,口,7획,4급,4__,부
附,붙을 부,阜,8획,준3급,3ii,부
府,마을 부,广,8획,준4급,4ii,부
赴,다다를/갈 부,走,9획,3급,3__,부
負,질 부,貝,9획,4급,4__,부
北,북녘 북|달아날 배,匕,5획,8급,8__,북
紛,어지러울 분,糸,10획,준3급,3ii,분
粉,가루 분,米,10획,4급,4__,분
墳,무덤 분,土,15획,3급,3__,분
憤,분할 분,心,15획,4급,4__,분
奮,떨칠 분,大,16획,준3급,3ii,분
分,나눌 분,刀,4획,준6급,6ii,분
奔,달릴 분,大,8획,준3급,3ii,분
不,아닐 불|아닐 부,一,4획,준7급,7ii,불
佛,부처 불,人,7획,준4급,4ii,불
拂,떨칠 불,手,8획,준3급,3ii,불
崩,무너질 붕,山,11획,3급,3__,붕
朋,벗 붕,月,8획,3급,3__,붕
祕,숨길 비,示,10획,4급,4__,비
婢,계집종 비,女,11획,준3급,3ii,비
費,쓸 비,貝,12획,5급,5__,비
備,갖출 비,人,12획,준4급,4ii,비
悲,슬플 비,心,12획,준4급,4ii,비
碑,돌기둥 비,石,13획,4급,4__,비
鼻,코 비,鼻,14획,5급,5__,비
比,견줄 비,比,4획,5급,5__,비
妃,왕비 비,女,6획,준3급,3ii,비
批,비평할 비,手,7획,4급,4__,비
肥,살찔 비,肉,8획,준3급,3ii,비
卑,낮을 비,十,8획,준3급,3ii,비
非,아닐 비,非,8획,준4급,4ii,비
飛,날 비,飛,9획,준4급,4ii,비
貧,가난할 빈,貝,11획,준4급,4ii,빈
賓,손 빈,貝,14획,3급,3__,빈
頻,자주 빈,頁,16획,3급,3__,빈
聘,부를 빙,耳,13획,3급,3__,빙
氷,얼음 빙,水,5획,5급,5__,빙
射,쏠 사,寸,10획,4급,4__,사
師,스승 사,巾,10획,준4급,4ii,사
捨,버릴 사,手,11획,3급,3__,사
蛇,뱀 사 긴뱀 사,虫,11획,준3급,3ii,사
斜,비낄 사,斗,11획,준3급,3ii,사
斯,이 사,斤,12획,3급,3__,사
詐,속일 사,言,12획,3급,3__,사
詞,말/글 사,言,12획,준3급,3ii,사
絲,실 사,糸,12획,4급,4__,사
寫,베낄 사,宀,15획,5급,5__,사
賜,줄 사,貝,15획,3급,3__,사
謝,사례할 사,言,17획,준4급,4ii,사
辭,말씀 사,辛,19획,4급,4__,사
士,선비 사,士,3획,준5급,5ii,사
巳,뱀 사,己,3획,3급,3__,사
四,넉 사,囗,5획,8급,8__,사
史,사기 사,口,5획,준5급,5ii,사
仕,섬길 사,人,5획,준5급,5ii,사
司,맡을 사,口,5획,준3급,3ii,사
死,죽을 사,歹,6획,6급,6__,사
寺,절 사,寸,6획,준4급,4ii,사
似,닮을 사,人,7획,3급,3__,사
邪,간사할 사,邑,7획,준3급,3ii,사
沙,모래 사,水,7획,준3급,3ii,사
私,사사로울 사,禾,7획,4급,4__,사
事,일 사,亅,8획,준7급,7ii,사
社,모일 사,示,8획,준6급,6ii,사
使,하여금/부릴 사,人,8획,6급,6__,사
祀,제사 사,示,8획,준3급,3ii,사
舍,집 사,舌,8획,준4급,4ii,사
思,생각 사,心,9획,5급,5__,사
査,조사할 사,木,9획,5급,5__,사
朔,초하루 삭,月,10획,3급,3__,삭
削,깎을 삭,刀,9획,준3급,3ii,삭
産,낳을 산,生,11획,준5급,5ii,산
散,흩을 산,攴,12획,4급,4__,산
算,셈 산,竹,14획,7급,7__,산
山,메 산,山,3획,8급,8__,산
殺,죽일 살,殳,11획,준4급,4ii,살
森,수풀 삼,木,12획,준3급,3ii,삼
三,석 삼,一,3획,8급,8__,삼
桑,뽕나무 상,木,10획,준3급,3ii,상
商,장사 상,口,11획,준5급,5ii,상
祥,상서 상,示,11획,3급,3__,상
常,떳떳할 상,巾,11획,준4급,4ii,상
喪,잃을 상,口,12획,준3급,3ii,상
象,코끼리 상,豕,12획,4급,4__,상
詳,자세할 상,言,13획,준3급,3ii,상
傷,다칠 상,人,13획,4급,4__,상
想,생각 상,心,13획,준4급,4ii,상
嘗,맛볼 상,口,14획,3급,3__,상
裳,치마 상,衣,14획,준3급,3ii,상
像,모양 상,人,14획,준3급,3ii,상
賞,상줄 상,貝,15획,5급,5__,상
霜,서리 상,雨,17획,준3급,3ii,상
償,갚을 상,人,17획,준3급,3ii,상
上,윗 상,一,3획,준7급,7ii,상
床,상 상,广,7획,준4급,4ii,상
尙,오히려 상,小,8획,준3급,3ii,상
狀,형상 상|문서 장,犬,8획,준4급,4ii,상
相,서로 상,目,9획,준5급,5ii,상
索,찾을 색|노 삭,糸,10획,준3급,3ii,색
塞,막힐 색|변방 새,土,13획,준3급,3ii,색
色,빛 색,色,6획,7급,7__,색
生,날 생,生,5획,8급,8__,생
書,글 서,曰,10획,준6급,6ii,서
恕,용서할 서,心,10획,준3급,3ii,서
徐,천천할 서,彳,10획,준3급,3ii,서
敍,펼 서,攴,11획,3급,3__,서
逝,갈 서,辵,11획,3급,3__,서
庶,여러 서,广,11획,3급,3__,서
暑,더울 서,日,13획,3급,3__,서
誓,맹세할 서,言,14획,3급,3__,서
署,마을 서,网,14획,준3급,3ii,서
緖,실마리 서,糸,15획,준3급,3ii,서
西,서녘 서,襾,6획,8급,8__,서
序,차례 서,广,7획,5급,5__,서
席,자리 석,巾,10획,6급,6__,석
惜,아낄 석,心,11획,준3급,3ii,석
釋,풀 석,釆,20획,준3급,3ii,석
夕,저녁 석,夕,3획,7급,7__,석
石,돌 석,石,5획,6급,6__,석
昔,예 석,日,8획,3급,3__,석
析,쪼갤 석,木,8획,3급,3__,석
船,배 선,舟,11획,5급,5__,선
旋,돌 선,方,11획,준3급,3ii,선
善,착할 선,口,12획,5급,5__,선
單,홑 단오랑캐 이름 선,口,12획,준4급,4ii,선
線,줄 선,糸,15획,준6급,6ii,선
選,가릴 선,辵,16획,5급,5__,선
鮮,고울 선,魚,17획,준5급,5ii,선
禪,선 선,示,17획,준3급,3ii,선
仙,신선 선,人,5획,준5급,5ii,선
先,먼저 선,儿,6획,8급,8__,선
宣,베풀 선,宀,9획,4급,4__,선
雪,눈 설,雨,11획,준6급,6ii,설
設,베풀 설,言,11획,준4급,4ii,설
說,말씀 설|달랠 세,言,14획,준5급,5ii,설
舌,혀 설,舌,6획,4급,4__,설
涉,건널 섭,水,10획,3급,3__,섭
攝,다스릴/잡을 섭,手,21획,3급,3__,섭
城,재 성,土,10획,준4급,4ii,성
盛,성할 성,皿,12획,준4급,4ii,성
聖,성인 성,耳,13획,준4급,4ii,성
誠,정성 성,言,14획,준4급,4ii,성
聲,소리 성,耳,17획,준4급,4ii,성
成,이룰 성,戈,7획,준6급,6ii,성
姓,성 성,女,8획,준7급,7ii,성
性,성품 성,心,8획,준5급,5ii,성
省,살필 성|덜 생,目,9획,준6급,6ii,성
星,별 성,日,9획,준4급,4ii,성
細,가늘 세,糸,11획,준4급,4ii,세
稅,세금 세,禾,12획,준4급,4ii,세
歲,해 세,止,13획,준5급,5ii,세
勢,형세 세,力,13획,준4급,4ii,세
世,인간 세,一,5획,준7급,7ii,세
洗,씻을 세,水,9획,준5급,5ii,세
消,사라질 소,水,10획,준6급,6ii,소
笑,웃음 소,竹,10획,준4급,4ii,소
素,본디/흴 소,糸,10획,준4급,4ii,소
掃,쓸 소,手,11획,준4급,4ii,소
訴,호소할 소,言,12획,준3급,3ii,소
疏,소통할 소,疋,12획,준3급,3ii,소
蔬,나물 소,艸,16획,3급,3__,소
燒,사를 소,火,16획,준3급,3ii,소
騷,떠들 소,馬,20획,3급,3__,소
蘇,되살아날 소,艸,20획,준3급,3ii,소
小,작을 소,小,3획,8급,8__,소
少,적을 소,小,4획,7급,7__,소
召,부를 소,口,5획,3급,3__,소
所,바 소,戶,8획,7급,7__,소
昭,밝을 소,日,9획,3급,3__,소
速,빠를 속,辵,11획,6급,6__,속
粟,조 속,米,12획,3급,3__,속
屬,붙일 속,尸,21획,4급,4__,속
續,이을 속,糸,21획,준4급,4ii,속
束,묶을 속,木,7획,준5급,5ii,속
俗,풍속 속,人,9획,준4급,4ii,속
孫,손자 손,子,10획,6급,6__,손
損,덜 손,手,13획,4급,4__,손
送,보낼 송,辵,10획,준4급,4ii,송
訟,송사할 송,言,11획,준3급,3ii,송
頌,기릴/칭송할 송,頁,13획,4급,4__,송
誦,욀 송,言,14획,3급,3__,송
松,소나무 송,木,8획,4급,4__,송
鎖,쇠사슬 쇄,金,18획,준3급,3ii,쇄
刷,인쇄할 쇄,刀,8획,준3급,3ii,쇄
衰,쇠할 쇠,衣,10획,준3급,3ii,쇠
殊,다를 수,歹,10획,준3급,3ii,수
修,닦을 수,人,10획,준4급,4ii,수
授,줄 수,手,11획,준4급,4ii,수
須,모름지기 수,頁,12획,3급,3__,수
搜,찾을 수,手,12획,3급,3__,수
睡,졸음 수,目,13획,3급,3__,수
遂,드디어 수,辵,13획,3급,3__,수
愁,근심 수,心,13획,준3급,3ii,수
壽,목숨 수,士,14획,준3급,3ii,수
需,쓰일/쓸 수|구할 수,雨,14획,준3급,3ii,수
數,셈 수,攴,15획,7급,7__,수
誰,누구 수,言,15획,3급,3__,수
樹,나무 수,木,16획,6급,6__,수
輸,보낼 수,車,16획,준3급,3ii,수
隨,따를 수,阜,16획,준3급,3ii,수
雖,비록 수,隹,17획,3급,3__,수
獸,짐승 수,犬,19획,준3급,3ii,수
水,물 수,水,4획,8급,8__,수
