hanja,kor,radical,total_num_of_strokes,level,level_sort,rep_pron
如,같을 여,女,6획,준4급,4ii,여
余,나 여,人,7획,3급,3__,여
逆,거스릴 역,辵,10획,준4급,4ii,역
域,지경 역,土,11획,4급,4__,역
譯,번역할 역,言,20획,준3급,3ii,역
驛,역 역,馬,23획,준3급,3ii,역
亦,또 역,亠,6획,준3급,3ii,역
役,부릴 역,彳,7획,준3급,3ii,역
易,바꿀 역|쉬울 이,日,8획,4급,4__,역
疫,전염병 역,疒,9획,준3급,3ii,역
宴,잔치 연,宀,10획,준3급,3ii,연
軟,연할 연,車,11획,준3급,3ii,연
硏,갈 연,石,11획,준4급,4ii,연
然,그럴 연,火,12획,7급,7__,연
鉛,납 연,金,13획,4급,4__,연
煙,연기 연,火,13획,준4급,4ii,연
演,펼 연,水,14획,준4급,4ii,연
緣,인연 연,糸,15획,4급,4__,연
燕,제비 연,火,16획,준3급,3ii,연
燃,탈 연,火,16획,4급,4__,연
延,늘일 연,廴,7획,4급,4__,연
沿,물따라갈/따를 연,水,8획,준3급,3ii,연
悅,기쁠 열,心,10획,준3급,3ii,열
熱,더울 열,火,15획,5급,5__,열
閱,볼 열,門,15획,3급,3__,열
鹽,소금 염,鹵,24획,준3급,3ii,염
炎,불꽃 염,火,8획,준3급,3ii,염
染,물들 염,木,9획,준3급,3ii,염
葉,잎 엽,艸,13획,5급,5__,엽
詠,읊을 영,言,12획,3급,3__,영
榮,영화 영,木,14획,준4급,4ii,영
影,그림자 영,彡,15획,준3급,3ii,영
營,경영할 영,火,17획,4급,4__,영
永,길 영,水,5획,6급,6__,영
泳,헤엄칠 영,水,8획,3급,3__,영
迎,맞을 영,辵,8획,4급,4__,영
英,꽃부리 영,艸,9획,6급,6__,영
映,비칠 영,日,9획,4급,4__,영
銳,날카로울 예,金,15획,3급,3__,예
豫,미리 예,豕,16획,4급,4__,예
藝,재주 예,艸,19획,준4급,4ii,예
譽,기릴/명예 예,言,21획,준3급,3ii,예
娛,즐길 오,女,10획,3급,3__,오
烏,까마귀 오,火,10획,준3급,3ii,오
悟,깨달을 오,心,10획,준3급,3ii,오
嗚,슬플 오,口,13획,3급,3__,오
傲,거만할 오,人,13획,3급,3__,오
誤,그르칠 오,言,14획,준4급,4ii,오
五,다섯 오,二,4획,8급,8__,오
午,낮 오,十,4획,준7급,7ii,오
汚,더러울 오,水,6획,3급,3__,오
吾,나 오,口,7획,3급,3__,오
獄,옥 옥,犬,14획,준3급,3ii,옥
玉,구슬 옥,玉,5획,준4급,4ii,옥
屋,집 옥,尸,9획,5급,5__,옥
溫,따뜻할/뜨거울 온,水,13획,6급,6__,온
翁,늙은이 옹,羽,10획,3급,3__,옹
擁,낄 옹,手,16획,3급,3__,옹
瓦,기와 와,瓦,5획,준3급,3ii,와
臥,누울 와,臣,8획,3급,3__,와
緩,느릴 완,糸,15획,준3급,3ii,완
完,완전할 완,宀,7획,5급,5__,완
曰,가로 왈,曰,4획,3급,3__,왈
王,임금 왕,玉,4획,8급,8__,왕
往,갈 왕,彳,8획,준4급,4ii,왕
外,바깥 외,夕,5획,8급,8__,외
畏,두려워할 외,田,9획,3급,3__,외
腰,허리 요,肉,13획,3급,3__,요
搖,흔들 요,手,13획,3급,3__,요
遙,멀 요,辵,14획,3급,3__,요
謠,노래 요,言,17획,준4급,4ii,요
曜,빛날 요,日,18획,5급,5__,요
要,요긴할 요,襾,9획,준5급,5ii,요
浴,목욕할 욕,水,10획,5급,5__,욕
辱,욕될 욕,辰,10획,준3급,3ii,욕
欲,하고자할 욕,欠,11획,준3급,3ii,욕
慾,욕심 욕,心,15획,준3급,3ii,욕
容,얼굴 용,宀,10획,준4급,4ii,용
庸,떳떳할 용,广,11획,3급,3__,용
用,쓸 용,用,5획,준6급,6ii,용
勇,날랠 용,力,9획,준6급,6ii,용
偶,짝 우,人,11획,준3급,3ii,우
郵,우편 우,邑,11획,4급,4__,우
愚,어리석을 우,心,13획,준3급,3ii,우
遇,만날 우,辵,13획,4급,4__,우
憂,근심 우,心,15획,준3급,3ii,우
優,넉넉할 우,人,17획,4급,4__,우
又,또 우,又,2획,3급,3__,우
于,어조사 우,二,3획,3급,3__,우
友,벗 우,又,4획,준5급,5ii,우
牛,소 우,牛,4획,5급,5__,우
尤,더욱 우,尢,4획,3급,3__,우
右,오를/오른(쪽) 우,口,5획,준7급,7ii,우
宇,집 우,宀,6획,준3급,3ii,우
羽,깃 우,羽,6획,준3급,3ii,우
雨,비 우,雨,8획,준5급,5ii,우
雲,구름 운,雨,12획,준5급,5ii,운
運,옮길 운,辵,13획,준6급,6ii,운
韻,운 운,音,19획,준3급,3ii,운
云,이를 운,二,4획,3급,3__,운
雄,수컷 웅,隹,12획,5급,5__,웅
原,언덕 원,厂,10획,5급,5__,원
院,집 원,阜,10획,5급,5__,원
員,인원 원,口,10획,준4급,4ii,원
援,도울 원,手,12획,4급,4__,원
園,동산 원,囗,13획,6급,6__,원
源,근원 원,水,13획,4급,4__,원
圓,둥글 원,囗,13획,준4급,4ii,원
遠,멀 원,辵,14획,6급,6__,원
願,원할 원,頁,19획,5급,5__,원
元,으뜸 원,儿,4획,준5급,5ii,원
怨,원망할 원,心,9획,4급,4__,원
越,넘을 월,走,12획,준3급,3ii,월
月,달 월,月,4획,8급,8__,월
偉,클 위,人,11획,준5급,5ii,위
圍,에워쌀 위,囗,12획,4급,4__,위
爲,하/할 위,爪,12획,준4급,4ii,위
違,어긋날 위,辵,13획,3급,3__,위
僞,거짓 위,人,14획,준3급,3ii,위
緯,씨 위,糸,15획,3급,3__,위
慰,위로할 위,心,15획,4급,4__,위
衛,지킬 위,行,15획,준4급,4ii,위
謂,이를 위,言,16획,준3급,3ii,위
危,위태할 위,卩,6획,4급,4__,위
位,자리 위,人,7획,5급,5__,위
委,맡길 위,女,8획,4급,4__,위
胃,밥통 위,肉,9획,준3급,3ii,위
威,위엄 위,女,9획,4급,4__,위
唯,오직 유,口,11획,3급,3__,유
惟,생각할 유,心,11획,3급,3__,유
悠,멀 유,心,11획,준3급,3ii,유
猶,오히려 유,犬,12획,준3급,3ii,유
裕,넉넉할 유,衣,12획,준3급,3ii,유
愈,나을 유,心,13획,3급,3__,유
遊,놀 유,辵,13획,4급,4__,유
維,벼리 유,糸,14획,준3급,3ii,유
誘,꾈 유,言,14획,준3급,3ii,유
儒,선비 유,人,16획,4급,4__,유
遺,남길 유,辵,16획,4급,4__,유
由,말미암을 유,田,5획,6급,6__,유
幼,어릴 유,幺,5획,준3급,3ii,유
有,있을 유,月,6획,7급,7__,유
酉,닭 유,酉,7획,3급,3__,유
油,기름 유,水,8획,6급,6__,유
乳,젖 유,乙,8획,4급,4__,유
幽,그윽할 유,幺,9획,준3급,3ii,유
柔,부드러울 유,木,9획,준3급,3ii,유
肉,고기 육,肉,6획,준4급,4ii,육
育,기를 육,肉,8획,7급,7__,육
閏,윤달 윤,門,12획,3급,3__,윤
潤,불을 윤,水,15획,준3급,3ii,윤
恩,은혜 은,心,10획,준4급,4ii,은
銀,은 은,金,14획,6급,6__,은
隱,숨을 은,阜,17획,4급,4__,은
乙,둘째 천간 을,乙,1획,준3급,3ii,을
淫,음란할 음,水,11획,준3급,3ii,음
陰,그늘 음,阜,11획,준4급,4ii,음
飮,마실 음,食,13획,준6급,6ii,음
吟,읊을 음,口,7획,3급,3__,음
音,소리 음,音,9획,준6급,6ii,음
邑,고을 읍,邑,7획,7급,7__,읍
泣,울 읍,水,8획,3급,3__,읍
凝,엉길 응,冫,16획,3급,3__,응
應,응할 응,心,17획,준4급,4ii,응
意,뜻 의,心,13획,준6급,6ii,의
義,옳을 의,羊,13획,준4급,4ii,의
疑,의심할 의,疋,14획,4급,4__,의
儀,거동 의,人,15획,4급,4__,의
醫,의원 의,酉,18획,6급,6__,의
議,의논할 의,言,20획,준4급,4ii,의
衣,옷 의,衣,6획,6급,6__,의
矣,어조사 의,矢,7획,3급,3__,의
宜,마땅 의,宀,8획,3급,3__,의
依,의지할 의,人,8획,4급,4__,의
異,다를 이,田,11획,4급,4__,이
移,옮길 이,禾,11획,준4급,4ii,이
二,두 이,二,2획,8급,8__,이
已,이미 이,己,3획,준3급,3ii,이
以,써 이,人,5획,준5급,5ii,이
耳,귀 이,耳,6획,5급,5__,이
而,말이을 이,而,6획,3급,3__,이
夷,오랑캐 이,大,6획,3급,3__,이
益,더할 익,皿,10획,준4급,4ii,익
翼,날개 익,羽,17획,준3급,3ii,익
寅,범/동방 인,宀,11획,3급,3__,인
認,알 인,言,14획,준4급,4ii,인
人,사람 인,人,2획,8급,8__,인
仁,어질 인,人,4획,4급,4__,인
引,끌 인,弓,4획,준4급,4ii,인
因,인할 인,囗,6획,5급,5__,인
印,도장 인,卩,6획,준4급,4ii,인
忍,참을 인,心,7획,준3급,3ii,인
姻,혼인 인,女,9획,3급,3__,인
逸,편안할 일,辵,12획,준3급,3ii,일
一,한 일,一,1획,8급,8__,일
日,날 일,日,4획,8급,8__,일
賃,품삯 임,貝,13획,준3급,3ii,임
壬,북방 임,士,4획,준3급,3ii,임
任,맡길 임,人,6획,준5급,5ii,임
入,들 입,入,2획,7급,7__,입
恣,마음대로/방자할 자,心,10획,3급,3__,자
玆,이 자,玄,10획,3급,3__,자
紫,자줏빛 자,糸,12획,준3급,3ii,자
慈,사랑 자,心,13획,준3급,3ii,자
資,재물 자,貝,13획,4급,4__,자
子,아들 자,子,3획,준7급,7ii,자
自,스스로 자,自,6획,준7급,7ii,자
字,글자 자,子,6획,7급,7__,자
姉,손윗누이 자,女,8획,4급,4__,자
者,놈 자,老,9획,6급,6__,자
姿,모양 자,女,9획,4급,4__,자
酌,술부을/잔질할 작,酉,10획,3급,3__,작
爵,벼슬 작,爪,18획,3급,3__,작
作,지을 작,人,7획,준6급,6ii,작
昨,어제 작,日,9획,준6급,6ii,작
殘,남을/잔인할 잔,歹,12획,4급,4__,잔
暫,잠깐 잠,日,15획,준3급,3ii,잠
潛,잠길 잠,水,15획,준3급,3ii,잠
雜,섞일 잡,隹,18획,4급,4__,잡
章,글 장,立,11획,6급,6__,장
莊,씩씩할/별장 장,艸,11획,준3급,3ii,장
張,베풀 장,弓,11획,4급,4__,장
帳,장막 장,巾,11획,4급,4__,장
將,장수 장,寸,11획,준4급,4ii,장
場,마당 장,土,12획,준7급,7ii,장
粧,단장할 장,米,12획,준3급,3ii,장
掌,손바닥 장,手,12획,준3급,3ii,장
葬,장사지낼 장,艸,13획,준3급,3ii,장
裝,꾸밀 장,衣,13획,4급,4__,장
腸,창자 장,肉,13획,4급,4__,장
障,막을 장,阜,14획,준4급,4ii,장
獎,장려할 장,犬,15획,4급,4__,장
墻,담 장,土,16획,3급,3__,장
藏,감출 장,艸,18획,준3급,3ii,장
臟,오장 장,肉,22획,준3급,3ii,장
丈,어른 장,一,3획,준3급,3ii,장
壯,장할 장,士,7획,4급,4__,장
長,긴 장,長,8획,8급,8__,장
財,재물 재,貝,10획,준5급,5ii,재
宰,재상 재,宀,10획,3급,3__,재
栽,심을 재,木,10획,준3급,3ii,재
裁,옷마를 재,衣,12획,준3급,3ii,재
載,실을 재,車,13획,준3급,3ii,재
才,재주 재,手,3획,준6급,6ii,재
在,있을 재,土,6획,6급,6__,재
再,두 재,冂,6획,5급,5__,재
材,재목 재,木,7획,준5급,5ii,재
災,재앙 재,火,7획,5급,5__,재
哉,어조사 재,口,9획,3급,3__,재
爭,다툴 쟁,爪,8획,5급,5__,쟁
貯,쌓을 저,貝,12획,5급,5__,저
著,나타날 저,艸,13획,준3급,3ii,저
低,낮을 저,人,7획,준4급,4ii,저
抵,막을 저,手,8획,준3급,3ii,저
底,밑 저,广,8획,4급,4__,저
寂,고요할 적,宀,11획,준3급,3ii,적
笛,피리 적,竹,11획,준3급,3ii,적
跡,발자취 적,足,13획,준3급,3ii,적
賊,도둑 적,貝,13획,4급,4__,적
滴,물방울 적,水,14획,3급,3__,적
摘,딸 적,手,14획,준3급,3ii,적
適,맞을 적,辵,15획,4급,4__,적
敵,대적할 적,攴,15획,준4급,4ii,적
積,쌓을 적,禾,16획,4급,4__,적
績,길쌈 적,糸,17획,4급,4__,적
蹟,자취 적,足,18획,준3급,3ii,적
籍,문서 적,竹,20획,4급,4__,적
赤,붉을 적,赤,7획,5급,5__,적
的,과녁 적,白,8획,준5급,5ii,적
展,펼 전,尸,10획,준5급,5ii,전
專,오로지 전,寸,11획,4급,4__,전
電,번개 전,雨,13획,준7급,7ii,전
傳,전할 전,人,13획,준5급,5ii,전
殿,전각 전,殳,13획,준3급,3ii,전
戰,싸움 전,戈,16획,준6급,6ii,전
錢,돈 전,金,16획,4급,4__,전
轉,구를 전,車,18획,4급,4__,전
田,밭 전,田,5획,준4급,4ii,전
全,온전할 전,入,6획,준7급,7ii,전
典,법 전,八,8획,준5급,5ii,전
前,앞 전,刀,9획,준7급,7ii,전
絶,끊을 절,糸,12획,준4급,4ii,절
節,마디 절,竹,15획,준5급,5ii,절
竊,훔칠 절,穴,22획,3급,3__,절
切,끊을 절|온통 체,刀,4획,준5급,5ii,절
折,꺾을 절,手,7획,4급,4__,절
漸,점점 점,水,14획,준3급,3ii,점
點,점 점,黑,17획,4급,4__,점
占,점령할/점칠 점,卜,5획,4급,4__,점
店,가게 점,广,8획,준5급,5ii,점
接,이을 접,手,11획,준4급,4ii,접
蝶,나비 접,虫,15획,3급,3__,접
庭,뜰 정,广,10획,준6급,6ii,정
情,뜻 정,心,11획,준5급,5ii,정
停,머무를 정,人,11획,5급,5__,정
淨,깨끗할 정,水,11획,준3급,3ii,정
頂,정수리 정,頁,11획,준3급,3ii,정
程,한도/길 정,禾,12획,준4급,4ii,정
精,정할 정,米,14획,준4급,4ii,정
靜,고요할 정,靑,16획,4급,4__,정
整,가지런할 정,攴,16획,4급,4__,정
丁,고무래/장정 정,一,2획,4급,4__,정
井,우물 정,二,4획,준3급,3ii,정
正,바를 정,止,5획,준7급,7ii,정
廷,조정 정,廴,7획,준3급,3ii,정
定,정할 정,宀,8획,6급,6__,정
征,칠 정,彳,8획,준3급,3ii,정
訂,바로잡을 정,言,9획,3급,3__,정
亭,정자 정,亠,9획,준3급,3ii,정
貞,곧을 정,貝,9획,준3급,3ii,정
政,정사 정,攴,9획,준4급,4ii,정
除,덜 제,阜,10획,준4급,4ii,제
第,차례 제,竹,11획,준6급,6ii,제
祭,제사 제,示,11획,준4급,4ii,제
堤,둑 제,土,12획,3급,3__,제
提,끌 제,手,12획,준4급,4ii,제
齊,가지런할 제,齊,14획,준3급,3ii,제
製,지을 제,衣,14획,준4급,4ii,제
際,즈음/가 제,阜,14획,준4급,4ii,제
諸,모두 제,言,16획,준3급,3ii,제
濟,건널 제,水,17획,준4급,4ii,제
題,제목 제,頁,18획,준6급,6ii,제
弟,아우 제,弓,7획,8급,8__,제
制,절제할 제,刀,8획,준4급,4ii,제
帝,임금 제,巾,9획,4급,4__,제
祖,할아비 조,示,10획,7급,7__,조
租,조세 조,禾,10획,준3급,3ii,조
條,가지 조,木,11획,4급,4__,조
組,짤 조,糸,11획,4급,4__,조
鳥,새 조,鳥,11획,준4급,4ii,조
造,지을 조,辵,11획,준4급,4ii,조
朝,아침 조,月,12획,6급,6__,조
照,비칠 조,火,13획,준3급,3ii,조
調,고를 조,言,15획,준5급,5ii,조
潮,밀물/조수 조,水,15획,4급,4__,조
操,잡을 조,手,16획,5급,5__,조
燥,마를 조,火,17획,3급,3__,조
弔,조상할 조,弓,4획,3급,3__,조
兆,억조 조,儿,6획,준3급,3ii,조
早,이를/일찍 조,日,6획,준4급,4ii,조
助,도울 조,力,7획,준4급,4ii,조
族,겨레 족,方,11획,6급,6__,족
足,발 족 / 족할 족,足,7획,준7급,7ii,족
尊,높을 존,寸,12획,준4급,4ii,존
存,있을 존,子,6획,4급,4__,존
卒,마칠/군사 졸,十,8획,준5급,5ii,졸
拙,졸할 졸,手,8획,3급,3__,졸
終,마칠 종,糸,11획,5급,5__,종
從,좇을 종,彳,11획,4급,4__,종
種,씨 종,禾,14획,준5급,5ii,종
縱,세로 종,糸,17획,준3급,3ii,종
鍾,쇠북 종,金,17획,4급,4__,종
宗,마루 종,宀,8획,준4급,4ii,종
座,자리 좌,广,10획,4급,4__,좌
左,왼 좌,工,5획,준7급,7ii,좌
佐,도울 좌,人,7획,3급,3__,좌
坐,앉을 좌,土,7획,준3급,3ii,좌
罪,허물 죄,网,13획,5급,5__,죄
珠,구슬 주,玉,10획,준3급,3ii,주
株,그루 주,木,10획,준3급,3ii,주
酒,술 주,酉,10획,4급,4__,주
晝,낮 주,日,11획,6급,6__,주
週,주일 주,辵,12획,준5급,5ii,주
鑄,쇠불릴 주,金,22획,준3급,3ii,주
主,임금/주인 주,丶,5획,7급,7__,주
州,고을 주,巛,6획,준5급,5ii,주
舟,배 주,舟,6획,3급,3__,주
朱,붉을 주,木,6획,4급,4__,주
住,살 주,人,7획,7급,7__,주
走,달릴 주,走,7획,준4급,4ii,주
注,부을 주,水,8획,준6급,6ii,주
宙,집 주,宀,8획,준3급,3ii,주
周,두루 주,口,8획,4급,4__,주
柱,기둥 주,木,9획,준3급,3ii,주
奏,아뢸 주,大,9획,준3급,3ii,주
洲,물가 주,水,9획,준3급,3ii,주
竹,대 죽,竹,6획,준4급,4ii,죽
準,준할 준,水,13획,준4급,4ii,준
遵,좇을 준,辵,16획,3급,3__,준
俊,준걸 준,人,9획,3급,3__,준
衆,무리 중,血,12획,준4급,4ii,중
中,가운데 중,丨,4획,8급,8__,중
仲,버금 중,人,6획,준3급,3ii,중
重,무거울 중,里,9획,7급,7__,중
卽,곧 즉,卩,9획,준3급,3ii,즉
症,증세 증,疒,10획,준3급,3ii,증
曾,일찍 증,曰,12획,준3급,3ii,증
蒸,찔 증,艸,14획,준3급,3ii,증
憎,미울 증,心,15획,준3급,3ii,증
增,더할 증,土,15획,준4급,4ii,증
贈,줄 증,貝,19획,3급,3__,증
證,증거 증,言,19획,4급,4__,증
紙,종이 지,糸,10획,7급,7__,지
智,슬기/지혜 지,日,12획,4급,4__,지
誌,기록할 지,言,14획,4급,4__,지
遲,더딜/늦을 지,辵,16획,3급,3__,지
止,그칠 지,止,4획,5급,5__,지
之,갈 지,丿,4획,준3급,3ii,지
支,지탱할 지,支,4획,준4급,4ii,지
只,다만 지,口,5획,3급,3__,지
地,땅 지,土,6획,7급,7__,지
池,못 지,水,6획,준3급,3ii,지
至,이를 지,至,6획,준4급,4ii,지
志,뜻 지,心,7획,준4급,4ii,지
知,알 지,矢,8획,준5급,5ii,지
枝,가지 지,木,8획,준3급,3ii,지
持,가질 지,手,9획,4급,4__,지
指,가리킬 지,手,9획,준4급,4ii,지
織,짤 직,糸,18획,4급,4__,직
職,직분 직,耳,18획,준4급,4ii,직
直,곧을 직,目,8획,준7급,7ii,직
振,떨칠 진,手,10획,준3급,3ii,진
陣,진칠 진,阜,10획,4급,4__,진
眞,참 진,目,10획,준4급,4ii,진
陳,베풀/묵을 진,阜,11획,준3급,3ii,진
進,나아갈 진,辵,12획,준4급,4ii,진
盡,다할 진,皿,14획,4급,4__,진
震,우레 진,雨,15획,준3급,3ii,진
鎭,진압할 진,金,18획,준3급,3ii,진
辰,별 진|때 신,辰,7획,준3급,3ii,진
珍,보배 진,玉,9획,4급,4__,진
疾,병 질,疒,10획,준3급,3ii,질
秩,차례 질,禾,10획,준3급,3ii,질
質,바탕 질,貝,15획,준5급,5ii,질
姪,조카 질,女,9획,3급,3__,질
執,잡을 집,土,11획,준3급,3ii,집
集,모을 집,隹,12획,준6급,6ii,집
徵,부를 징,彳,15획,준3급,3ii,징
懲,징계할 징,心,19획,3급,3__,징
茶,차 다/차,艸,10획,준3급,3ii,차
借,빌/빌릴 차,人,10획,준3급,3ii,차
差,다를 차,工,10획,4급,4__,차
且,또 차,一,5획,3급,3__,차
此,이 차,止,6획,준3급,3ii,차
次,버금 차,欠,6획,준4급,4ii,차
車,수레 거/차,車,7획,준7급,7ii,차
捉,잡을 착,手,10획,3급,3__,착
着,붙을 착,目,12획,준5급,5ii,착
錯,어긋날 착,金,16획,준3급,3ii,착
贊,도울 찬,貝,19획,준3급,3ii,찬
讚,기릴 찬,言,26획,4급,4__,찬
察,살필 찰,宀,14획,준4급,4ii,찰
參,참여할 참,厶,11획,준5급,5ii,참
慘,참혹할 참,心,14획,3급,3__,참
慙,부끄러울 참,心,15획,3급,3__,참
倉,곳집 창,人,10획,준3급,3ii,창
窓,창 창,穴,11획,준6급,6ii,창
唱,부를 창,口,11획,5급,5__,창
創,비롯할 창,刀,12획,준4급,4ii,창
暢,화창할 창,日,14획,3급,3__,창
蒼,푸를 창,艸,14획,준3급,3ii,창
昌,창성할 창,日,8획,준3급,3ii,창
彩,채색 채,彡,11획,준3급,3ii,채
採,캘 채,手,11획,4급,4__,채
菜,나물 채,艸,12획,준3급,3ii,채
債,빚 채,人,13획,준3급,3ii,채
責,꾸짖을 책,貝,11획,준5급,5ii,책
策,꾀 책,竹,12획,준3급,3ii,책
冊,책 책,冂,5획,4급,4__,책
處,곳 처,虍,11획,준4급,4ii,처
妻,아내 처,女,8획,준3급,3ii,처
戚,친척 척,戈,11획,준3급,3ii,척
尺,자 척,尸,4획,준3급,3ii,척
斥,물리칠 척,斤,5획,3급,3__,척
刺,찌를 자/척,刀,8획,준3급,3ii,척
拓,넓힐 척,手,8획,준3급,3ii,척
淺,얕을 천,水,11획,준3급,3ii,천
踐,밟을 천,足,15획,준3급,3ii,천
賤,천할 천,貝,15획,준3급,3ii,천
遷,옮길 천,辵,15획,준3급,3ii,천
薦,천거할 천,艸,17획,3급,3__,천
千,일천 천,十,3획,7급,7__,천
川,내 천,巛,3획,7급,7__,천
天,하늘 천,大,4획,7급,7__,천
泉,샘 천,水,9획,4급,4__,천
哲,밝을 철,口,10획,준3급,3ii,철
徹,통할 철,彳,15획,준3급,3ii,철
鐵,쇠 철,金,21획,5급,5__,철
添,더할 첨,水,11획,3급,3__,첨
尖,뾰족할 첨,小,6획,3급,3__,첨
妾,첩 첩,女,8획,3급,3__,첩
淸,맑을 청,水,11획,준6급,6ii,청
晴,갤 청,日,12획,3급,3__,청
請,청할 청,言,15획,준4급,4ii,청
聽,들을 청,耳,22획,4급,4__,청
廳,관청 청,广,25획,4급,4__,청
靑,푸를 청,靑,8획,8급,8__,청
逮,잡을 체,辵,12획,3급,3__,체
替,바꿀 체,曰,12획,3급,3__,체
遞,갈릴 체,辵,14획,3급,3__,체
滯,막힐 체,水,14획,준3급,3ii,체
體,몸 체,骨,23획,준6급,6ii,체
草,풀 초,艸,10획,7급,7__,초
超,뛰어넘을 초,走,12획,준3급,3ii,초
礎,주춧돌 초,石,18획,준3급,3ii,초
初,처음 초,刀,7획,5급,5__,초
抄,뽑을 초,手,7획,3급,3__,초
肖,닮을/같을 초,肉,7획,준3급,3ii,초
招,부를 초,手,8획,4급,4__,초
秒,분초 초,禾,9획,3급,3__,초
燭,촛불 촉,火,17획,3급,3__,촉
觸,닿을 촉,角,20획,준3급,3ii,촉
促,재촉할 촉,人,9획,준3급,3ii,촉
寸,마디 촌,寸,3획,8급,8__,촌
村,마을 촌,木,7획,7급,7__,촌
銃,총 총,金,14획,준4급,4ii,총
聰,귀밝을 총,耳,17획,3급,3__,총
總,다 총,糸,17획,준4급,4ii,총
最,가장 최,曰,12획,5급,5__,최
催,재촉할 최,人,13획,준3급,3ii,최
追,쫓을/따를 추,辵,10획,준3급,3ii,추
推,밀 추,手,11획,4급,4__,추
醜,추할 추,酉,17획,3급,3__,추
抽,뽑을 추,手,8획,3급,3__,추
秋,가을 추,禾,9획,7급,7__,추
祝,빌 축,示,10획,5급,5__,축
畜,짐승 축,田,10획,준3급,3ii,축
逐,쫓을 축,辵,11획,3급,3__,축
蓄,모을 축,艸,14획,준4급,4ii,축
築,쌓을 축,竹,16획,준4급,4ii,축
縮,줄일 축,糸,17획,4급,4__,축
丑,소 축,一,4획,3급,3__,축
春,봄 춘,日,9획,7급,7__,춘
出,날 출,凵,5획,7급,7__,출
衝,찌를 충,行,15획,준3급,3ii,충
蟲,벌레 충,虫,18획,준4급,4ii,충
充,채울 충,儿,6획,준5급,5ii,충
忠,충성 충,心,8획,준4급,4ii,충
臭,냄새 취,自,10획,3급,3__,취
就,나아갈 취,尢,12획,4급,4__,취
醉,취할 취,酉,15획,준3급,3ii,취
趣,뜻 취,走,15획,4급,4__,취
吹,불 취,口,7획,준3급,3ii,취
取,가질 취,又,8획,준4급,4ii,취
側,곁 측,人,11획,준3급,3ii,측
測,헤아릴 측,水,12획,준4급,4ii,측
層,층 층,尸,15획,4급,4__,층
致,이를 치,至,10획,5급,5__,치
値,값 치,人,10획,준3급,3ii,치
恥,부끄러울 치,心,10획,준3급,3ii,치
稚,어릴 치,禾,13획,준3급,3ii,치
置,둘 치,网,13획,준4급,4ii,치
齒,이 치,齒,15획,준4급,4ii,치
治,다스릴 치,水,8획,준4급,4ii,치
則,법칙 칙,刀,9획,5급,5__,칙
親,친할 친,見,16획,6급,6__,친
漆,옻 칠,水,14획,준3급,3ii,칠
七,일곱 칠,一,2획,8급,8__,칠
浸,잠길 침,水,10획,준3급,3ii,침
針,바늘 침,金,10획,4급,4__,침
寢,잘 침,宀,14획,4급,4__,침
沈,잠길 침|성 심,水,7획,준3급,3ii,침
枕,베개 침,木,8획,3급,3__,침
侵,침노할 침,人,9획,준4급,4ii,침
稱,일컬을 칭,禾,14획,4급,4__,칭
快,쾌할 쾌,心,7획,준4급,4ii,쾌
墮,떨어질 타,土,15획,3급,3__,타
他,다를 타,人,5획,5급,5__,타
打,칠 타,手,5획,5급,5__,타
妥,온당할 타,女,7획,3급,3__,타
濁,흐릴 탁,水,16획,3급,3__,탁
濯,씻을 탁,水,17획,3급,3__,탁
托,맡길 탁,手,6획,3급,3__,탁
卓,높을 탁,十,8획,5급,5__,탁
誕,낳을/거짓 탄,言,14획,3급,3__,탄
歎,탄식할 탄,欠,15획,4급,4__,탄
彈,탄알 탄,弓,15획,4급,4__,탄
炭,숯 탄,火,9획,5급,5__,탄
脫,벗을 탈,肉,11획,4급,4__,탈
奪,빼앗을 탈,大,14획,준3급,3ii,탈
貪,탐낼 탐,貝,11획,3급,3__,탐
探,찾을 탐,手,11획,4급,4__,탐
塔,탑 탑,土,13획,준3급,3ii,탑
湯,끓을 탕,水,12획,준3급,3ii,탕
泰,클 태,水,10획,준3급,3ii,태
態,모습 태,心,14획,준4급,4ii,태
太,클 태,大,4획,6급,6__,태
怠,게으를 태,心,9획,3급,3__,태
殆,거의 태,歹,9획,준3급,3ii,태
澤,못 택,水,16획,준3급,3ii,택
擇,가릴 택,手,16획,4급,4__,택
宅,집 택,宀,6획,준5급,5ii,택
討,칠 토,言,10획,4급,4__,토
土,흙 토,土,3획,8급,8__,토
吐,토할 토,口,6획,준3급,3ii,토
兔,토끼 토,儿,8획,준3급,3ii,토
通,통할 통,辵,11획,6급,6__,통
痛,아플 통,疒,12획,4급,4__,통
統,거느릴 통,糸,12획,준4급,4ii,통
退,물러날 퇴,辵,10획,준4급,4ii,퇴
透,사무칠 투,辵,11획,준3급,3ii,투
鬪,싸움 투,鬥,20획,4급,4__,투
投,던질 투,手,7획,4급,4__,투
特,특별할 특,牛,10획,6급,6__,특
破,깨뜨릴 파,石,10획,준4급,4ii,파
頗,자못 파,頁,14획,3급,3__,파
播,뿌릴 파,手,15획,3급,3__,파
罷,마칠 파,网,15획,3급,3__,파
把,잡을 파,手,7획,3급,3__,파
波,물결 파,水,8획,준4급,4ii,파
派,갈래 파,水,9획,4급,4__,파
販,팔 판,貝,11획,3급,3__,판
判,판단할 판,刀,7획,4급,4__,판
板,널 판,木,8획,5급,5__,판
版,판목 판,片,8획,준3급,3ii,판
