hanja,kor,link
勇,날랠 용:,https://namu.wiki/w/%E5%8B%87
用,쓸 용:,https://namu.wiki/w/%E7%94%A8
運,옮길 운:,https://namu.wiki/w/%E9%81%8B
音,소리 음,https://namu.wiki/w/%E9%9F%B3
飮,마실 음(:)[22],https://namu.wiki/w/%E9%A3%AE
意,뜻 의:,https://namu.wiki/w/%E6%84%8F
作,지을 작,https://namu.wiki/w/%E4%BD%9C
昨,어제 작,https://namu.wiki/w/%E6%98%A8
才,재주 재,https://namu.wiki/w/%E6%89%8D
戰,싸움 전:,https://namu.wiki/w/%E6%88%B0
庭,뜰 정,https://namu.wiki/w/%E5%BA%AD
第,차례 제:,https://namu.wiki/w/%E7%AC%AC
題,제목 제,https://namu.wiki/w/%E9%A1%8C
注,부을 주:,https://namu.wiki/w/%E6%B3%A8
集,모을 집,https://namu.wiki/w/%E9%9B%86
窓,창 창,https://namu.wiki/w/%E7%AA%93
淸,맑을 청,https://namu.wiki/w/%E6%B7%B8
體,몸 체,https://namu.wiki/w/%E9%AB%94
表,겉 표,https://namu.wiki/w/%E8%A1%A8
風,바람 풍,https://namu.wiki/w/%E9%A2%A8
幸,다행 행:,https://namu.wiki/w/%E5%B9%B8
現,나타날 현:,https://namu.wiki/w/%E7%8F%BE
形,모양 형,https://namu.wiki/w/%E5%BD%A2
和,화할 화,https://namu.wiki/w/%E5%92%8C
會,모일 회:,https://namu.wiki/w/%E6%9C%83
感,느낄 감:,https://namu.wiki/w/%E6%84%9F
強,강할 강(:)[23],https://namu.wiki/w/%E5%BC%B7
開,열 개,https://namu.wiki/w/%E9%96%8B
京,서울 경,https://namu.wiki/w/%E4%BA%AC
古,예 고:,https://namu.wiki/w/%E5%8F%A4
苦,쓸 고,https://namu.wiki/w/%E8%8B%A6
交,사귈 교,https://namu.wiki/w/%E4%BA%A4
區,구분할/지경 구,https://namu.wiki/w/%E5%8D%80
郡,고을 군:,https://namu.wiki/w/%E9%83%A1
根,뿌리 근,https://namu.wiki/w/%E6%A0%B9
近,가까울 근:,https://namu.wiki/w/%E8%BF%91
