level,hanja,rep_h,rep_m,hms(>1)
5,救,구원할,구,['구원할 구']
4ii,求,구할,구,['구할 구']
4ii,句,글귀,구,['글귀 구']
4ii,究,연구할,구,['연구할 구']
4,構,얽을,구,['얽을 구']
3ii,久,오랠,구,['오랠 구']
3ii,拘,잡을,구,['잡을 구']
3ii,丘,언덕,구,['언덕 구']
3,俱,함께,구,['함께 구']
3,龜,거북,구,"['거북 구', '거북 귀', '터질 균']"
3,驅,몰,구,['몰 구']
3,苟,진실로/구차할,구,['진실로/구차할 구']
3,懼,두려워할,구,['두려워할 구']
3,狗,개,구,['개 구']
8,國,나라,국,['나라 국']
5ii,局,판,국,['판 국']
3ii,菊,국화,국,['국화 국']
8,軍,군사,군,['군사 군']
6,郡,고을,군,['고을 군']
4,君,임금,군,['임금 군']
4,群,무리,군,['무리 군']
4,屈,굽힐,굴,['굽힐 굴']
4ii,宮,집,궁,['집 궁']
4,窮,다할/궁할,궁,['다할/궁할 궁']
3ii,弓,활,궁,['활 궁']
4ii,權,권세,권,['권세 권']
4,券,문서,권,['문서 권']
4,勸,권할,권,['권할 권']
4,卷,책,권,['책 권']
3ii,拳,주먹,권,['주먹 권']
3,厥,그,궐,['그 궐']
3,軌,바퀴자국,궤,['바퀴자국 궤']
5,貴,귀할,귀,['귀할 귀']
4,歸,돌아갈,귀,['돌아갈 귀']
3ii,鬼,귀신,귀,['귀신 귀']
5,規,법,규,['법 규']
3,糾,얽을,규,['얽을 규']
3,叫,부르짖을,규,['부르짖을 규']
4,均,고를,균,['고를 균']
3ii,菌,버섯,균,['버섯 균']
4ii,極,다할/극진할,극,['다할/극진할 극']
4,劇,심할,극,['심할 극']
3ii,克,이길,극,['이길 극']
6,根,뿌리,근,['뿌리 근']
6,近,가까울,근,['가까울 근']
4,勤,부지런할,근,['부지런할 근']
4,筋,힘줄,근,['힘줄 근']
3,僅,겨우,근,['겨우 근']
3,謹,삼갈,근,['삼갈 근']
3,斤,근/날,근,['근/날 근']
8,金,쇠,금,"['쇠 금', '성 김']"
6ii,今,이제,금,['이제 금']
4ii,禁,금할,금,['금할 금']
3ii,禽,새,금,['새 금']
3ii,錦,비단,금,['비단 금']
3ii,琴,거문고,금,['거문고 금']
6ii,急,급할,급,['급할 급']
6,級,등급,급,['등급 급']
5,給,줄,급,['줄 급']
3ii,及,미칠,급,['미칠 급']
3,肯,즐길,긍,['즐길 긍']
7ii,氣,기운,기,['기운 기']
7ii,記,기록할,기,['기록할 기']
7,旗,기,기,['기 기']
5ii,基,터,기,['터 기']
5ii,己,몸,기,['몸 기']
5,汽,물끓는김,기,['물끓는김 기']
5,期,기약할,기,['기약할 기']
5,技,재주,기,['재주 기']
4ii,器,그릇,기,['그릇 기']
4ii,起,일어날,기,['일어날 기']
4,機,틀,기,['틀 기']
4,寄,부칠,기,['부칠 기']
4,奇,기특할,기,['기특할 기']
4,紀,벼리,기,['벼리 기']
3ii,騎,말탈,기,['말탈 기']
3ii,祈,빌,기,['빌 기']
3ii,畿,경기,기,['경기 기']
3ii,其,그,기,['그 기']
3ii,企,꾀할,기,['꾀할 기']
3,旣,이미,기,['이미 기']
3,忌,꺼릴,기,['꺼릴 기']
3,棄,버릴,기,['버릴 기']
3,欺,속일,기,['속일 기']
3,飢,주릴,기,['주릴 기']
3,豈,어찌,기,['어찌 기']
3,幾,몇,기,['몇 기']
3ii,緊,긴할,긴,['긴할 긴']
5,吉,길할,길,['길할 길']
8,南,남녘,남,['남녘 남']
7ii,男,사내,남,['사내 남']
7ii,內,안,내,['안 내']
8,女,계집,녀,['계집 녀']
8,年,해,년,['해 년']
5ii,念,생각,념,['생각 념']
7ii,農,농사,농,['농사 농']
5ii,能,능할,능,['능할 능']
6,多,많을,다,['많을 다']
6ii,短,짧을,단,['짧을 단']
5ii,團,둥글,단,['둥글 단']
5,壇,단,단,['단 단']
5,談,말씀,담,['말씀 담']
7ii,答,대답,답,['대답 답']
6ii,堂,집,당,['집 당']
5ii,當,마땅,당,['마땅 당']
8,大,큰,대,['큰 대']
6ii,代,대신할,대,['대신할 대']
6ii,對,대할,대,['대할 대']
6,待,기다릴,대,['기다릴 대']
5ii,德,큰,덕,['큰 덕']
7ii,道,길,도,['길 도']
6ii,圖,그림,도,['그림 도']
6,度,법도,도,"['법도 도', '헤아릴 탁']"
5ii,到,이를,도,['이를 도']
5,都,도읍,도,['도읍 도']
5,島,섬,도,['섬 도']
6ii,讀,읽을,독,"['읽을 독', '구절 두']"
5ii,獨,홀로,독,['홀로 독']
8,東,동녘,동,['동녘 동']
7ii,動,움직일,동,['움직일 동']
7,同,한가지,동,['한가지 동']
7,洞,골,동,"['골 동', '밝을 통']"
7,冬,겨울,동,['겨울 동']
6ii,童,아이,동,['아이 동']
6,頭,머리,두,['머리 두']
7,登,오를,등,['오를 등']
6ii,等,무리,등,['무리 등']
6ii,樂,즐길,락,"['즐길 락', '노래 악', '좋아할 요']"
5,落,떨어질,락,['떨어질 락']
5ii,朗,밝을,랑,['밝을 랑']
7,來,올,래,['올 래']
5,冷,찰,랭,['찰 랭']
5ii,良,어질,량,['어질 량']
5,量,헤아릴,량,['헤아릴 량']
5ii,旅,나그네,려,['나그네 려']
7ii,力,힘,력,['힘 력']
5ii,歷,지날,력,['지날 력']
5ii,練,익힐,련,['익힐 련']
5,領,거느릴,령,['거느릴 령']
5,令,하여금,령,['하여금 령']
6,例,법식,례,['법식 례']
6,禮,예도,례,['예도 례']
7,老,늙을,로,['늙을 로']
6,路,길,로,['길 로']
5ii,勞,일할,로,['일할 로']
6,綠,푸를,록,['푸를 록']
5,料,헤아릴,료,['헤아릴 료']
5ii,流,흐를,류,['흐를 류']
5ii,類,무리,류,['무리 류']
8,六,여섯,륙,['여섯 륙']
5ii,陸,뭍,륙,['뭍 륙']
7,里,마을,리,['마을 리']
6ii,利,이할,리,['이할 리']
6ii,理,다스릴,리,['다스릴 리']
6,李,오얏/성,리,['오얏/성 리']
7,林,수풀,림,['수풀 림']
7ii,立,설,립,['설 립']
5,馬,말,마,['말 마']
8,萬,일만,만,['일만 만']
5,末,끝,말,['끝 말']
5ii,望,바랄,망,['바랄 망']
5,亡,망할,망,['망할 망']
7ii,每,매양,매,['매양 매']
5,買,살,매,['살 매']
5,賣,팔,매,['팔 매']
7,面,낯,면,['낯 면']
7ii,名,이름,명,['이름 명']
7,命,목숨,명,['목숨 명']
6ii,明,밝을,명,['밝을 명']
8,母,어미,모,['어미 모']
8,木,나무,목,['나무 목']
6,目,눈,목,['눈 목']
5,無,없을,무,['없을 무']
8,門,문,문,['문 문']
7,文,글월,문,['글월 문']
7,問,물을,문,['물을 문']
6ii,聞,들을,문,['들을 문']
7ii,物,물건,물,['물건 물']
6,美,아름다울,미,['아름다울 미']
6,米,쌀,미,['쌀 미']
8,民,백성,민,['백성 민']
6,朴,성,박,['성 박']
6ii,半,반,반,['반 반']
6ii,反,돌이킬/돌아올,반,['돌이킬/돌아올 반']
6ii,班,나눌,반,['나눌 반']
6ii,發,필,발,['필 발']
7ii,方,모,방,['모 방']
6ii,放,놓을,방,['놓을 방']
5,倍,곱,배,['곱 배']
8,白,흰,백,['흰 백']
7,百,일백,백,['일백 백']
6,番,차례,번,['차례 번']
5ii,法,법,법,['법 법']
5ii,變,변할,변,['변할 변']
6,別,다를/나눌,별,['다를/나눌 별']
6,病,병,병,['병 병']
5ii,兵,병사,병,['병사 병']
6,服,옷,복,['옷 복']
5ii,福,복,복,['복 복']
6,本,근본,본,['근본 본']
5ii,奉,받들,봉,['받들 봉']
8,父,아비,부,['아비 부']
7,夫,지아비,부,['지아비 부']
6ii,部,떼,부,['떼 부']
8,北,북녘,북,"['북녘 북', '달아날 배']"
6ii,分,나눌,분,['나눌 분']
7ii,不,아닐,불,['아닐 불']
5,比,견줄,비,['견줄 비']
5,費,쓸,비,['쓸 비']
5,鼻,코,비,['코 비']
5,氷,얼음,빙,['얼음 빙']
8,四,넉,사,['넉 사']
7ii,事,일,사,['일 사']
6ii,社,모일,사,['모일 사']
6,使,하여금/부릴,사,['하여금/부릴 사']
6,死,죽을,사,['죽을 사']
5ii,史,사기,사,['사기 사']
5ii,士,선비,사,['선비 사']
5ii,仕,섬길,사,['섬길 사']
5,寫,베낄,사,['베낄 사']
5,思,생각,사,['생각 사']
5,査,조사할,사,['조사할 사']
8,山,메,산,['메 산']
7,算,셈,산,['셈 산']
5ii,産,낳을,산,['낳을 산']
8,三,석,삼,['석 삼']
7ii,上,윗,상,['윗 상']
5ii,商,장사,상,['장사 상']
5ii,相,서로,상,['서로 상']
5,賞,상줄,상,['상줄 상']
7,色,빛,색,['빛 색']
8,生,날,생,['날 생']
8,西,서녘,서,['서녘 서']
6ii,書,글,서,['글 서']
5,序,차례,서,['차례 서']
7,夕,저녁,석,['저녁 석']
6,席,자리,석,['자리 석']
6,石,돌,석,['돌 석']
8,先,먼저,선,['먼저 선']
6ii,線,줄,선,['줄 선']
5ii,鮮,고울,선,['고울 선']
5ii,仙,신선,선,['신선 선']
5,善,착할,선,['착할 선']
5,選,가릴,선,['가릴 선']
5,船,배,선,['배 선']
6ii,雪,눈,설,['눈 설']
5ii,說,말씀,설,"['말씀 설', '달랠 세']"
7ii,姓,성,성,['성 성']
6ii,成,이룰,성,['이룰 성']
6ii,省,살필,성,"['살필 성', '덜 생']"
5ii,性,성품,성,['성품 성']
7ii,世,인간,세,['인간 세']
5ii,洗,씻을,세,['씻을 세']
5ii,歲,해,세,['해 세']
8,小,작을,소,['작을 소']
7,少,적을,소,['적을 소']
7,所,바,소,['바 소']
6ii,消,사라질,소,['사라질 소']
6,速,빠를,속,['빠를 속']
5ii,束,묶을,속,['묶을 속']
6,孫,손자,손,['손자 손']
8,水,물,수,['물 수']
7ii,手,손,수,['손 수']
7,數,셈,수,['셈 수']
6,樹,나무,수,['나무 수']
5ii,首,머리,수,['머리 수']
5ii,宿,잘,숙,"['잘 숙', '별자리 수']"
5ii,順,순할,순,['순할 순']
6ii,術,재주,술,['재주 술']
6,習,익힐,습,['익힐 습']
6,勝,이길,승,['이길 승']
7ii,時,때,시,['때 시']
7ii,市,저자,시,['저자 시']
6ii,始,비로소,시,['비로소 시']
5,示,보일,시,['보일 시']
7ii,食,밥/먹을,식,['밥/먹을 식']
7,植,심을,식,['심을 식']
6,式,법,식,['법 식']
5ii,識,알,식,['알 식']
6ii,身,몸,신,['몸 신']
6ii,神,귀신,신,['귀신 신']
6ii,信,믿을,신,['믿을 신']
6ii,新,새,신,['새 신']
5ii,臣,신하,신,['신하 신']
8,室,집,실,['집 실']
6,失,잃을,실,['잃을 실']
5ii,實,열매,실,['열매 실']
7,心,마음,심,['마음 심']
8,十,열,십,['열 십']
5ii,兒,아이,아,['아이 아']
5ii,惡,악할,악,"['악할 악', '미워할 오']"
7ii,安,편안,안,['편안 안']
5,案,책상,안,['책상 안']
6,愛,사랑,애,['사랑 애']
6,夜,밤,야,['밤 야']
6,野,들,야,['들 야']
6ii,弱,약할,약,['약할 약']
6ii,藥,약,약,['약 약']
5ii,約,맺을,약,['맺을 약']
6,陽,볕,양,['볕 양']
6,洋,큰바다,양,['큰바다 양']
5ii,養,기를,양,['기를 양']
7,語,말씀,어,['말씀 어']
5,漁,고기잡을,어,['고기잡을 어']
5,魚,고기/물고기,어,['고기/물고기 어']
5,億,억,억,['억 억']
6,言,말씀,언,['말씀 언']
6ii,業,업,업,['업 업']
7,然,그럴,연,['그럴 연']
5,熱,더울,열,['더울 열']
5,葉,잎,엽,['잎 엽']
6,英,꽃부리,영,['꽃부리 영']
6,永,길,영,['길 영']
8,五,다섯,오,['다섯 오']
7ii,午,낮,오,['낮 오']
5,屋,집,옥,['집 옥']
6,溫,따뜻할,온,['따뜻할 온']
5,完,완전할,완,['완전할 완']
8,王,임금,왕,['임금 왕']
8,外,바깥,외,['바깥 외']
5ii,要,요긴할,요,['요긴할 요']
5,曜,빛날,요,['빛날 요']
5,浴,목욕할,욕,['목욕할 욕']
6ii,勇,날랠,용,['날랠 용']
6ii,用,쓸,용,['쓸 용']
7ii,右,오를/오른(쪽),우,['오를/오른(쪽) 우']
5ii,友,벗,우,['벗 우']
5ii,雨,비,우,['비 우']
5,牛,소,우,['소 우']
6ii,運,옮길,운,['옮길 운']
5ii,雲,구름,운,['구름 운']
5,雄,수컷,웅,['수컷 웅']
6,園,동산,원,['동산 원']
6,遠,멀,원,['멀 원']
5ii,元,으뜸,원,['으뜸 원']
5,原,언덕,원,['언덕 원']
5,院,집,원,['집 원']
5,願,원할,원,['원할 원']
8,月,달,월,['달 월']
5ii,偉,클,위,['클 위']
5,位,자리,위,['자리 위']
7,有,있을,유,['있을 유']
6,由,말미암을,유,['말미암을 유']
6,油,기름,유,['기름 유']
7,育,기를,육,['기를 육']
6,銀,은,은,['은 은']
6ii,音,소리,음,['소리 음']
6ii,飮,마실,음,['마실 음']
7,邑,고을,읍,['고을 읍']
6ii,意,뜻,의,['뜻 의']
6,醫,의원,의,['의원 의']
6,衣,옷,의,['옷 의']
8,二,두,이,['두 이']
5ii,以,써,이,['써 이']
5,耳,귀,이,['귀 이']
8,人,사람,인,['사람 인']
5,因,인할,인,['인할 인']
8,一,한,일,['한 일']
8,日,날,일,['날 일']
5ii,任,맡길,임,['맡길 임']
7,入,들,입,['들 입']
7ii,子,아들,자,['아들 자']
7ii,自,스스로,자,['스스로 자']
7,字,글자,자,['글자 자']
6,者,놈,자,['놈 자']
6ii,作,지을,작,['지을 작']
6ii,昨,어제,작,['어제 작']
8,長,긴,장,['긴 장']
7ii,場,마당,장,['마당 장']
6,章,글,장,['글 장']
6ii,才,재주,재,['재주 재']
6,在,있을,재,['있을 재']
5ii,財,재물,재,['재물 재']
5ii,材,재목,재,['재목 재']
5,災,재앙,재,['재앙 재']
5,再,두,재,['두 재']
5,爭,다툴,쟁,['다툴 쟁']
5,貯,쌓을,저,['쌓을 저']
5ii,的,과녁,적,['과녁 적']
5,赤,붉을,적,['붉을 적']
7ii,電,번개,전,['번개 전']
7ii,前,앞,전,['앞 전']
7ii,全,온전,전,['온전 전']
6ii,戰,싸움,전,['싸움 전']
5ii,傳,전할,전,['전할 전']
5ii,典,법,전,['법 전']
5ii,展,펼,전,['펼 전']
5ii,節,마디,절,['마디 절']
5ii,切,끊을,절,"['끊을 절', '온통 체']"
5ii,店,가게,점,['가게 점']
7ii,正,바를,정,['바를 정']
6ii,庭,뜰,정,['뜰 정']
6,定,정할,정,['정할 정']
5ii,情,뜻,정,['뜻 정']
5,停,머물,정,['머물 정']
8,弟,아우,제,['아우 제']
6ii,第,차례,제,['차례 제']
6ii,題,제목,제,['제목 제']
7,祖,할아비,조,['할아비 조']
6,朝,아침,조,['아침 조']
5ii,調,고를,조,['고를 조']
5,操,잡을,조,['잡을 조']
7ii,足,발,족,['발 족']
6,族,겨레,족,['겨레 족']
5ii,卒,마칠,졸,['마칠 졸']
5ii,種,씨,종,['씨 종']
5,終,마칠,종,['마칠 종']
7ii,左,왼,좌,['왼 좌']
5,罪,허물,죄,['허물 죄']
7,住,살,주,['살 주']
7,主,임금/주인,주,['임금/주인 주']
6ii,注,부을,주,['부을 주']
6,晝,낮,주,['낮 주']
5ii,週,주일,주,['주일 주']
5ii,州,고을,주,['고을 주']
8,中,가운데,중,['가운데 중']
7,重,무거울,중,['무거울 중']
7,紙,종이,지,['종이 지']
7,地,땅,지,['땅 지']
5ii,知,알,지,['알 지']
5,止,그칠,지,['그칠 지']
7ii,直,곧을,직,['곧을 직']
5ii,質,바탕,질,['바탕 질']
6ii,集,모을,집,['모을 집']
5ii,着,붙을,착,['붙을 착']
5ii,參,참여할,참,['참여할 참']
6ii,窓,창,창,['창 창']
5,唱,부를,창,['부를 창']
5ii,責,꾸짖을,책,['꾸짖을 책']
7,千,일천,천,['일천 천']
7,天,하늘,천,['하늘 천']
7,川,내,천,['내 천']
5,鐵,쇠,철,['쇠 철']
8,靑,푸를,청,['푸를 청']
6ii,淸,맑을,청,['맑을 청']
6ii,體,몸,체,['몸 체']
7,草,풀,초,['풀 초']
5,初,처음,초,['처음 초']
8,寸,마디,촌,['마디 촌']
7,村,마을,촌,['마을 촌']
5,最,가장,최,['가장 최']
7,秋,가을,추,['가을 추']
5,祝,빌,축,['빌 축']
7,春,봄,춘,['봄 춘']
7,出,날,출,['날 출']
5ii,充,채울,충,['채울 충']
5,致,이를,치,['이를 치']
5,則,법칙,칙,['법칙 칙']
6,親,친할,친,['친할 친']
8,七,일곱,칠,['일곱 칠']
5,他,다를,타,['다를 타']
5,打,칠,타,['칠 타']
5,卓,높을,탁,['높을 탁']
5,炭,숯,탄,['숯 탄']
6,太,클,태,['클 태']
5ii,宅,집,택,['집 택']
8,土,흙,토,['흙 토']
6,通,통할,통,['통할 통']
6,特,특별할,특,['특별할 특']
5,板,널,판,['널 판']
8,八,여덟,팔,['여덟 팔']
5,敗,패할,패,['패할 패']
7,便,편할,편,"['편할 편', '똥오줌 변']"
7ii,平,평평할,평,['평평할 평']
6ii,表,겉,표,['겉 표']
5ii,品,물건,품,['물건 품']
6ii,風,바람,풍,['바람 풍']
5ii,必,반드시,필,['반드시 필']
5ii,筆,붓,필,['붓 필']
7ii,下,아래,하,['아래 하']
7,夏,여름,하,['여름 하']
5,河,물,하,['물 하']
8,學,배울,학,['배울 학']
8,韓,한국/나라,한,['한국/나라 한']
7ii,漢,한수/한나라,한,['한수/한나라 한']
5,寒,찰,한,['찰 한']
6,合,합할,합,['합할 합']
7ii,海,바다,해,['바다 해']
5ii,害,해할,해,['해할 해']
6ii,幸,다행,행,['다행 행']
6,行,다닐,행,"['다닐 행', '항렬 항']"
6,向,향할,향,['향할 향']
5,許,허락할,허,['허락할 허']
6ii,現,나타날,현,['나타날 현']
8,兄,형,형,['형 형']
6ii,形,모양,형,['모양 형']
6,號,이름,호,['이름 호']
5,湖,호수,호,['호수 호']
8,火,불,화,['불 화']
7ii,話,말씀,화,['말씀 화']
7,花,꽃,화,['꽃 화']
6ii,和,화할,화,['화할 화']
6,畫,그림,화,"['그림 화', '그을 획']"
5ii,化,될,화,['될 화']
5,患,근심,환,['근심 환']
7ii,活,살,활,['살 활']
6,黃,누를,황,['누를 황']
6ii,會,모일,회,['모일 회']
7ii,孝,효도,효,['효도 효']
5ii,效,본받을,효,['본받을 효']
7ii,後,뒤,후,['뒤 후']
6,訓,가르칠,훈,['가르칠 훈']
7,休,쉴,휴,['쉴 휴']
5ii,凶,흉할,흉,['흉할 흉']
5,黑,검을,흑,['검을 흑']
