6ii,消,사라질 소
6ii,術,재주 술
6ii,始,비로소 시
6ii,身,몸 신
6ii,神,귀신 신
6ii,信,믿을 신:
6ii,新,새 신
6ii,弱,약할 약
6ii,藥,약 약
6ii,業,업 업
6ii,勇,날랠 용:
6ii,用,쓸 용:
6ii,運,옮길 운:
6ii,音,소리 음
6ii,飮,마실 음(:)
6ii,意,뜻 의:
6ii,作,지을 작
6ii,昨,어제 작
6ii,才,재주 재
6ii,戰,싸움 전:
6ii,庭,뜰 정
6ii,第,차례 제:
6ii,題,제목 제
6ii,注,부을 주:
6ii,集,모을 집
6ii,窓,창 창
6ii,淸,맑을 청
6ii,體,몸 체
6ii,表,겉 표
6ii,風,바람 풍
6ii,幸,다행 행:
6ii,現,나타날 현:
6ii,形,모양 형
6ii,和,화할 화
6ii,會,모일 회:
6,感,느낄 감:
6,強,강할 강(:)
6,開,열 개
6,京,서울 경
6,古,예 고:
6,苦,쓸 고
6,交,사귈 교
6,區,구분할/지경 구
6,郡,고을 군:
6,根,뿌리 근
6,近,가까울 근:
6,級,등급 급
6,多,많을 다
6,待,기다릴 대:
6,度,법도 도(:) | 헤아릴 탁
6,頭,머리 두
6,例,법식 례:
6,禮,예도 례:
6,路,길 로:
6,綠,푸를 록
6,李,오얏/성 리:
6,目,눈 목
6,美,아름다울 미(:)
6,米,쌀 미
6,朴,성 박
6,番,차례 번
6,別,다를/나눌 별
6,病,병 병:
6,服,옷 복
6,本,근본 본
6,使,하여금/부릴 사:
6,死,죽을 사:
6,席,자리 석
6,石,돌 석
6,速,빠를 속
6,孫,손자 손(:)
6,樹,나무 수
6,習,익힐 습
6,勝,이길 승
6,式,법 식
6,失,잃을 실
6,愛,사랑 애(:)
6,夜,밤 야:
6,野,들 야:
6,陽,볕 양
6,洋,큰바다 양
6,言,말씀 언
6,英,꽃부리 영
6,永,길 영:
6,溫,따뜻할 온
6,園,동산 원
6,遠,멀 원:
6,由,말미암을 유
6,油,기름 유
6,銀,은 은
6,醫,의원 의
6,衣,옷 의
6,者,놈 자
6,章,글 장
6,在,있을 재:
6,定,정할 정:
6,朝,아침 조
6,族,겨레 족
6,晝,낮 주
6,親,친할 친
6,太,클 태
6,通,통할 통
6,特,특별할 특
6,合,합할 합
6,行,다닐 행(:) | 항렬 항
6,向,향할 향:
6,號,이름 호(:)
6,畫,그림 화: | 그을 획
6,黃,누를 황
6,訓,가르칠 훈:
5ii,價,값 가
5ii,客,손 객
5ii,格,격식 격
5ii,見,볼 견: | 뵈올 현:
5ii,結,맺을 결
5ii,決,결단할 결
5ii,敬,공경 경:
5ii,告,고할 고:
5ii,課,공부할/과정 과(:)
5ii,過,지날 과:
5ii,觀,볼 관
5ii,關,관계할 관
5ii,廣,넓을 광:
5ii,具,갖출 구(:)
5ii,舊,예 구:
5ii,局,판 국
5ii,基,터 기
5ii,己,몸 기
5ii,念,생각 념:
5ii,能,능할 능
5ii,團,둥글 단
5ii,當,마땅 당
5ii,德,큰 덕
5ii,到,이를 도:
5ii,獨,홀로 독
5ii,朗,밝을 랑:
5ii,良,어질 량
5ii,旅,나그네 려
5ii,歷,지날 력
5ii,練,익힐 련:
5ii,勞,일할 로
5ii,流,흐를 류
5ii,類,무리 류(:)
5ii,陸,뭍 륙
5ii,望,바랄 망:
5ii,法,법 법
5ii,變,변할 변
5ii,兵,병사 병:
5ii,福,복 복
5ii,奉,받들 봉:
5ii,史,사기 사:
5ii,士,선비 사:
5ii,仕,섬길 사(:)
5ii,産,낳을 산:
5ii,商,장사 상
5ii,相,서로 상
5ii,鮮,고울 선
5ii,仙,신선 선
5ii,說,말씀 설 | 달랠 세:
5ii,性,성품 성:
5ii,洗,씻을 세:
5ii,歲,해 세:
5ii,束,묶을 속
5ii,首,머리 수
5ii,宿,잘 숙 | 별자리 수:
5ii,順,순할 순:
5ii,識,알 식
5ii,臣,신하 신
5ii,實,열매 실
5ii,兒,아이 아
5ii,惡,악할 악 | 미워할 오
5ii,約,맺을 약
5ii,養,기를 양:
5ii,要,요긴할 요(:)
5ii,友,벗 우:
5ii,雨,비 우:
5ii,雲,구름 운
5ii,元,으뜸 원
5ii,偉,클 위
5ii,以,써 이:
5ii,任,맡길 임(:)
5ii,財,재물 재
5ii,材,재목 재
5ii,的,과녁 적
5ii,傳,전할 전
5ii,典,법 전:
5ii,展,펼 전:
5ii,節,마디 절
5ii,切,끊을 절 | 온통 체
5ii,店,가게 점:
5ii,情,뜻 정
5ii,調,고를 조
5ii,卒,마칠 졸
5ii,種,씨 종(:)
5ii,週,주일 주
5ii,州,고을 주
5ii,知,알 지
5ii,質,바탕 질
5ii,着,붙을 착
5ii,參,참여할 참
5ii,責,꾸짖을 책
5ii,充,채울 충
5ii,宅,집 택
5ii,品,물건 품:
5ii,必,반드시 필
5ii,筆,붓 필
5ii,害,해할 해:
5ii,化,될 화(:)
5ii,效,본받을 효:
5ii,凶,흉할 흉
5,加,더할 가
5,可,옳을 가:
5,改,고칠 개(:)
5,擧,들 거:
5,去,갈 거:
5,件,물건 건
5,建,세울 건:
5,健,굳셀 건:
5,輕,가벼울 경
5,競,다툴 경:
5,景,볕 경(:)
5,考,생각할 고(:)
5,固,굳을 고(:)
5,曲,굽을 곡
5,橋,다리 교
5,救,구원할 구:
5,貴,귀할 귀:
5,規,법 규
5,給,줄 급
5,汽,물끓는김 기
5,期,기약할 기
5,技,재주 기
5,吉,길할 길
5,壇,단 단
5,談,말씀 담
5,都,도읍 도
5,島,섬 도
5,落,떨어질 락
5,冷,찰 랭:
5,量,헤아릴 량
5,領,거느릴 령
5,令,하여금 령(:)
5,料,헤아릴 료(:)
5,馬,말 마:
5,末,끝 말
5,亡,망할 망
5,買,살 매:
5,賣,팔 매(:)
5,無,없을 무
