hanja,kor,radical,total_num_of_strokes,level
瞬,눈깜짝일 순,目,17획,준3급
巡,돌/순행할 순,巛,7획,준3급
述,펼 술,辵,9획,준3급
濕,젖을 습,水,17획,준3급
拾,"주울 습, 열 십",手,9획,준3급
襲,엄습할 습,衣,22획,준3급
乘,탈 승,丿,10획,준3급
昇,오를 승,日,8획,준3급
僧,중 승,人,14획,준3급
侍,모실 시,人,8획,준3급
飾,꾸밀 식,食,14획,준3급
愼,삼갈 신,心,13획,준3급
甚,심할 심,甘,9획,준3급
審,살필 심,宀,15획,준3급
雙,두/쌍 쌍,隹,18획,준3급
雅,맑을 아,隹,12획,준3급
我,나 아,戈,7획,준3급
阿,언덕 아,阜,8획,준3급
亞,버금 아,二,8획,준3급
芽,싹 아,艸,8획,준3급
牙,어금니 아,牙,4획,준3급
顔,낯 안,頁,18획,준3급
岸,언덕 안,山,8획,준3급
巖,바위 암,山,23획,준3급
仰,우러를 앙,人,6획,준3급
央,가운데 앙,大,5획,준3급
哀,슬플 애,口,9획,준3급
若,"같을 약, 반야 야",艸,9획,준3급
讓,사양할 양,言,24획,준3급
壤,흙덩이 양,土,20획,준3급
揚,날릴 양,手,12획,준3급
御,거느릴 어,彳,12획,준3급
憶,생각할 억,心,16획,준3급
抑,누를 억,手,7획,준3급
疫,전염병 역,疒,9획,준3급
亦,또 역,亠,6획,준3급
役,부릴 역,彳,7획,준3급
譯,번역할 역,言,20획,준3급
驛,역 역,馬,23획,준3급
沿,물따라갈/따를 연,水,8획,준3급
軟,연할 연,車,11획,준3급
宴,잔치 연,宀,10획,준3급
燕,제비 연,火,16획,준3급
悅,기쁠 열,心,10획,준3급
染,물들 염,木,9획,준3급
鹽,소금 염,鹵,24획,준3급
炎,불꽃 염,火,8획,준3급
影,그림자 영,彡,15획,준3급
譽,기릴/명예 예,言,21획,준3급
烏,까마귀 오,火,10획,준3급
悟,깨달을 오,心,10획,준3급
獄,옥 옥,犬,14획,준3급
瓦,기와 와,瓦,5획,준3급
緩,느릴 완,糸,15획,준3급
慾,욕심 욕,心,15획,준3급
欲,하고자할 욕,欠,11획,준3급
辱,욕될 욕,辰,10획,준3급
憂,근심 우,心,15획,준3급
偶,짝 우,人,11획,준3급
宇,집 우,宀,6획,준3급
愚,어리석을 우,心,13획,준3급
羽,깃 우,羽,6획,준3급
韻,운 운,音,19획,준3급
越,넘을 월,走,12획,준3급
胃,밥통 위,肉,9획,준3급
僞,거짓 위,人,14획,준3급
謂,이를 위,言,16획,준3급
猶,오히려 유,犬,12획,준3급
幽,그윽할 유,幺,9획,준3급
幼,어릴 유,幺,5획,준3급
柔,부드러울 유,木,9획,준3급
維,벼리 유,糸,14획,준3급
裕,넉넉할 유,衣,12획,준3급
誘,꾈 유,言,14획,준3급
悠,멀 유,心,11획,준3급
潤,불을 윤,水,15획,준3급
乙,둘째 천간 을,乙,1획,준3급
淫,음란할 음,水,11획,준3급
已,이미 이,己,3획,준3급
翼,날개 익,羽,17획,준3급
忍,참을 인,心,7획,준3급
逸,편안할 일,辵,12획,준3급
壬,북방 임,士,4획,준3급
賃,품삯 임,貝,13획,준3급
紫,자줏빛 자,糸,12획,준3급
慈,사랑 자,心,13획,준3급
刺,찌를 자/척,刀,8획,준3급
暫,잠깐 잠,日,15획,준3급
潛,잠길 잠,水,15획,준3급
莊,씩씩할/별장 장,艸,11획,준3급
葬,장사지낼 장,艸,13획,준3급
臟,오장 장,肉,22획,준3급
粧,단장할 장,米,12획,준3급
掌,손바닥 장,手,12획,준3급
丈,어른 장,一,3획,준3급
藏,감출 장,艸,18획,준3급
栽,심을 재,木,10획,준3급
裁,옷마를 재,衣,12획,준3급
載,실을 재,車,13획,준3급
著,나타날 저,艸,13획,준3급
抵,막을 저,手,8획,준3급
跡,발자취 적,足,13획,준3급
寂,고요할 적,宀,11획,준3급
笛,피리 적,竹,11획,준3급
摘,딸 적,手,14획,준3급
蹟,자취 적,足,18획,준3급
殿,전각 전,殳,13획,준3급
漸,점점 점,水,14획,준3급
淨,깨끗할 정,水,11획,준3급
頂,정수리 정,頁,11획,준3급
井,우물 정,二,4획,준3급
亭,정자 정,亠,9획,준3급
廷,조정 정,廴,7획,준3급
貞,곧을 정,貝,9획,준3급
征,칠 정,彳,8획,준3급
諸,모두 제,言,16획,준3급
齊,가지런할 제,齊,14획,준3급
租,조세 조,禾,10획,준3급
照,비칠 조,火,13획,준3급
兆,억조 조,儿,6획,준3급
縱,세로 종,糸,17획,준3급
坐,앉을 좌,土,7획,준3급
柱,기둥 주,木,9획,준3급
珠,구슬 주,玉,10획,준3급
株,그루 주,木,10획,준3급
奏,아뢸 주,大,9획,준3급
洲,물가 주,水,9획,준3급
鑄,쇠불릴 주,金,22획,준3급
宙,집 주,宀,8획,준3급
仲,버금 중,人,6획,준3급
卽,곧 즉,卩,9획,준3급
憎,미울 증,心,15획,준3급
曾,일찍 증,曰,12획,준3급
症,증세 증,疒,10획,준3급
蒸,찔 증,艸,14획,준3급
之,갈 지,丿,4획,준3급
池,못 지,水,6획,준3급
枝,가지 지,木,8획,준3급
陳,베풀/묵을 진,阜,11획,준3급
震,우레 진,雨,15획,준3급
鎭,진압할 진,金,18획,준3급
辰,"별 진, 때 신",辰,7획,준3급
振,떨칠 진,手,10획,준3급
疾,병 질,疒,10획,준3급
秩,차례 질,禾,10획,준3급
執,잡을 집,土,11획,준3급
徵,부를 징,彳,15획,준3급
此,이 차,止,6획,준3급
借,빌/빌릴 차,人,10획,준3급
錯,어긋날 착,金,16획,준3급
贊,도울 찬,貝,19획,준3급
昌,창성할 창,日,8획,준3급
蒼,푸를 창,艸,14획,준3급
倉,곳집 창,人,10획,준3급
債,빚 채,人,13획,준3급
彩,채색 채,彡,11획,준3급
菜,나물 채,艸,12획,준3급
策,꾀 책,竹,12획,준3급
妻,아내 처,女,8획,준3급
尺,자 척,尸,4획,준3급
戚,친척 척,戈,11획,준3급
拓,넓힐 척,手,8획,준3급
踐,밟을 천,足,15획,준3급
賤,천할 천,貝,15획,준3급
淺,얕을 천,水,11획,준3급
遷,옮길 천,辵,15획,준3급
哲,밝을 철,口,10획,준3급
徹,통할 철,彳,15획,준3급
滯,막힐 체,水,14획,준3급
超,뛰어넘을 초,走,12획,준3급
肖,닮을/같을 초,肉,7획,준3급
礎,주춧돌 초,石,18획,준3급
觸,닿을 촉,角,20획,준3급
促,재촉할 촉,人,9획,준3급
催,재촉할 최,人,13획,준3급
追,쫓을/따를 추,辵,10획,준3급
畜,짐승 축,田,10획,준3급
衝,찌를 충,行,15획,준3급
吹,불 취,口,7획,준3급
醉,취할 취,酉,15획,준3급
側,곁 측,人,11획,준3급
値,값 치,人,10획,준3급
恥,부끄러울 치,心,10획,준3급
稚,어릴 치,禾,13획,준3급
漆,옻 칠,水,14획,준3급
浸,잠길 침,水,10획,준3급
沈,"잠길 침, 성 심",水,7획,준3급
奪,빼앗을 탈,大,14획,준3급
塔,탑 탑,土,13획,준3급
湯,끓을 탕,水,12획,준3급
殆,거의 태,歹,9획,준3급
泰,클 태,水,10획,준3급
澤,못 택,水,16획,준3급
吐,토할 토,口,6획,준3급
兔,토끼 토,儿,8획,준3급
透,사무칠 투,辵,11획,준3급
版,판목 판,片,8획,준3급
編,엮을 편,糸,15획,준3급
片,조각 편,片,4획,준3급
偏,치우칠 편,人,11획,준3급
肺,허파 폐,肉,8획,준3급
廢,폐할/버릴 폐,广,15획,준3급
弊,폐단/해질 폐,廾,15획,준3급
捕,잡을 포,手,10획,준3급
浦,개 포,水,10획,준3급
楓,단풍 풍,木,13획,준3급
被,입을 피,衣,10획,준3급
皮,가죽 피,皮,5획,준3급
彼,저 피,彳,8획,준3급
畢,마칠 필,田,11획,준3급
荷,멜 하,艸,11획,준3급
賀,하례할 하,貝,12획,준3급
何,어찌 하,人,7획,준3급
鶴,학 학,鳥,21획,준3급
汗,땀 한,水,6획,준3급
割,벨 할,刀,12획,준3급
含,머금을 함,口,7획,준3급
陷,빠질 함,阜,11획,준3급
恒,항상 항,心,9획,준3급
項,항목 항,頁,12획,준3급
響,울릴 향,音,22획,준3급
獻,드릴 헌,犬,20획,준3급
懸,달 현,心,20획,준3급
玄,검을 현,玄,5획,준3급
穴,굴 혈,穴,5획,준3급
脅,위협할 협,肉,10획,준3급
衡,저울대 형,行,16획,준3급
慧,슬기로울 혜,心,15획,준3급
浩,넓을 호,水,10획,준3급
豪,호걸 호,豕,14획,준3급
胡,되 호,肉,9획,준3급
虎,범 호,虍,8획,준3급
惑,미혹할 혹,心,12획,준3급
魂,넋 혼,鬼,14획,준3급
忽,갑자기 홀,心,8획,준3급
洪,넓을 홍,水,9획,준3급
禍,재앙 화,示,14획,준3급
還,돌아올 환,辵,17획,준3급
換,바꿀 환,手,12획,준3급
皇,임금 황,白,9획,준3급
荒,거칠 황,艸,10획,준3급
懷,품을 회,心,19획,준3급
悔,뉘우칠 회,心,10획,준3급
獲,얻을 획,犬,17획,준3급
劃,그을 획,刀,14획,준3급
橫,가로 횡,木,16획,준3급
胸,가슴 흉,肉,10획,준3급
稀,드물 희,禾,12획,준3급
戲,놀이 희,戈,17획,준3급
暇,틈/겨를 가,日,13획,4급
刻,새길 각,刀,8획,4급
覺,깨달을 각,見,20획,4급
簡,대쪽/간략할 간,竹,18획,4급
看,볼 간,目,9획,4급
干,방패 간,干,3획,4급
甘,달 감,甘,5획,4급
敢,감히/구태여 감,攴,12획,4급
甲,갑옷 갑,田,5획,4급
降,"내릴 강, 항복할 항",阜,9획,4급
拒,막을 거,手,8획,4급
居,살 거,尸,8획,4급
據,근거 거,手,16획,4급
巨,클 거,工,5획,4급
傑,뛰어날 걸,人,12획,4급
儉,검소할 검,人,15획,4급
擊,칠 격,手,17획,4급
激,격할 격,水,16획,4급
堅,굳을 견,土,11획,4급
犬,개 견,犬,4획,4급
驚,놀랄 경,馬,23획,4급
更,"고칠 경, 다시 갱",曰,7획,4급
傾,기울 경,人,13획,4급
鏡,거울 경,金,19획,4급
階,섬돌 계,阜,12획,4급
鷄,닭 계,鳥,21획,4급
季,계절 계,子,8획,4급
系,이어맬 계,糸,7획,4급
繼,이을 계,糸,20획,4급
戒,경계할 계,戈,7획,4급
孤,외로울 고,子,8획,4급
庫,곳집 고,广,10획,4급
穀,곡식 곡,禾,15획,4급
困,곤할 곤,囗,7획,4급
骨,뼈 골,骨,10획,4급
孔,구멍 공,子,4획,4급
攻,칠 공,攴,7획,4급
管,대롱/주관할 관,竹,14획,4급
鑛,쇳돌 광,金,23획,4급
構,얽을 구,木,14획,4급
君,임금 군,口,7획,4급
群,무리 군,羊,13획,4급
屈,굽힐 굴,尸,8획,4급
窮,다할/궁할 궁,穴,15획,4급
券,문서 권,刀,8획,4급
勸,권할 권,力,20획,4급
卷,책 권,卩,8획,4급
歸,돌아갈 귀,止,18획,4급
均,고를 균,土,7획,4급
劇,심할 극,刀,15획,4급
勤,부지런할 근,力,13획,4급
筋,힘줄 근,竹,12획,4급
機,틀 기,木,16획,4급
寄,부칠 기,宀,11획,4급
奇,기특할 기,大,8획,4급
紀,벼리 기,糸,9획,4급
納,들일 납,糸,10획,4급
段,층계 단,殳,9획,4급
徒,무리 도,彳,10획,4급
盜,도둑 도,皿,12획,4급
逃,도망할 도,辵,10획,4급
亂,어지러울 란,乙,13획,4급
卵,알 란,卩,7획,4급
覽,볼 람,見,21획,4급
略,간략할/약할 략,田,11획,4급
糧,양식 량,米,18획,4급
慮,생각할 려,心,15획,4급
烈,매울 렬,火,10획,4급
龍,용 룡,龍,16획,4급
柳,버들 류,木,9획,4급
輪,바퀴 륜,車,15획,4급
離,떠날 리,隹,19획,4급
妹,누이 매,女,8획,4급
勉,힘쓸 면,力,9획,4급
鳴,울 명,鳥,14획,4급
模,본뜰 모,木,15획,4급
墓,무덤 묘,土,14획,4급
妙,묘할 묘,女,7획,4급
舞,춤출 무,舛,14획,4급
拍,칠 박,手,8획,4급
髮,머리카락 발,髟,15획,4급
妨,방해할 방,女,7획,4급
犯,범할 범,犬,5획,4급
範,법 범,竹,15획,4급
辯,말씀 변,辛,21획,4급
普,넓을 보,日,12획,4급
伏,엎드릴 복,人,6획,4급
複,겹칠 복,衣,14획,4급
否,아닐 부,口,7획,4급
負,질 부,貝,9획,4급
粉,가루 분,米,10획,4급
憤,분할 분,心,15획,4급
批,비평할 비,手,7획,4급
祕,숨길 비,示,10획,4급
碑,돌기둥 비,石,13획,4급
辭,말씀 사,辛,19획,4급
私,사사로울 사,禾,7획,4급
絲,실 사,糸,12획,4급
射,쏠 사,寸,10획,4급
散,흩을 산,攴,12획,4급
傷,다칠 상,人,13획,4급
象,코끼리 상,豕,12획,4급
宣,베풀 선,宀,9획,4급
舌,혀 설,舌,6획,4급
屬,붙일 속,尸,21획,4급
損,덜 손,手,13획,4급
頌,기릴/칭송할 송,頁,13획,4급
松,소나무 송,木,8획,4급
秀,빼어날 수,禾,7획,4급
叔,아재비 숙,又,8획,4급
肅,엄숙할 숙,聿,13획,4급
崇,높을 숭,山,11획,4급
氏,각시/성씨 씨,氏,4획,4급
額,이마 액,頁,18획,4급
樣,모양 양,木,15획,4급
嚴,엄할 엄,口,20획,4급
與,더불/줄 여,臼,14획,4급
域,지경 역,土,11획,4급
易,"바꿀 역, 쉬울 이",日,8획,4급
燃,탈 연,火,16획,4급
鉛,납 연,金,13획,4급
緣,인연 연,糸,15획,4급
延,늘일 연,廴,7획,4급
迎,맞을 영,辵,8획,4급
映,비칠 영,日,9획,4급
營,경영할 영,火,17획,4급
豫,미리 예,豕,16획,4급
優,넉넉할 우,人,17획,4급
遇,만날 우,辵,13획,4급
郵,우편 우,邑,11획,4급
怨,원망할 원,心,9획,4급
援,도울 원,手,12획,4급
源,근원 원,水,13획,4급
圍,에워쌀 위,囗,12획,4급
委,맡길 위,女,8획,4급
威,위엄 위,女,9획,4급
慰,위로할 위,心,15획,4급
危,위태할 위,卩,6획,4급
遊,놀 유,辵,13획,4급
乳,젖 유,乙,8획,4급
儒,선비 유,人,16획,4급
遺,남길 유,辵,16획,4급
隱,숨을 은,阜,17획,4급
依,의지할 의,人,8획,4급
儀,거동 의,人,15획,4급
疑,의심할 의,疋,14획,4급
異,다를 이,田,11획,4급
仁,어질 인,人,4획,4급
資,재물 자,貝,13획,4급
姿,모양 자,女,9획,4급
姉,손윗누이 자,女,8획,4급
殘,남을/잔인할 잔,歹,12획,4급
雜,섞일 잡,隹,18획,4급
獎,장려할 장,犬,15획,4급
裝,꾸밀 장,衣,13획,4급
腸,창자 장,肉,13획,4급
張,베풀 장,弓,11획,4급
壯,장할 장,士,7획,4급
帳,장막 장,巾,11획,4급
底,밑 저,广,8획,4급
積,쌓을 적,禾,16획,4급
籍,문서 적,竹,20획,4급
適,맞을 적,辵,15획,4급
績,길쌈 적,糸,17획,4급
賊,도둑 적,貝,13획,4급
專,오로지 전,寸,11획,4급
轉,구를 전,車,18획,4급
錢,돈 전,金,16획,4급
折,꺾을 절,手,7획,4급
點,점 점,黑,17획,4급
占,점령할/점칠 점,卜,5획,4급
靜,고요할 정,靑,16획,4급
丁,고무래/장정 정,一,2획,4급
整,가지런할 정,攴,16획,4급
帝,임금 제,巾,9획,4급
條,가지 조,木,11획,4급
潮,밀물/조수 조,水,15획,4급
組,짤 조,糸,11획,4급
存,있을 존,子,6획,4급
鍾,쇠북 종,金,17획,4급
從,좇을 종,彳,11획,4급
座,자리 좌,广,10획,4급
酒,술 주,酉,10획,4급
朱,붉을 주,木,6획,4급
周,두루 주,口,8획,4급
證,증거 증,言,19획,4급
持,가질 지,手,9획,4급
智,슬기/지혜 지,日,12획,4급
誌,기록할 지,言,14획,4급
織,짤 직,糸,18획,4급
珍,보배 진,玉,9획,4급
盡,다할 진,皿,14획,4급
陣,진칠 진,阜,10획,4급
差,다를 차,工,10획,4급
讚,기릴 찬,言,26획,4급
採,캘 채,手,11획,4급
冊,책 책,冂,5획,4급
泉,샘 천,水,9획,4급
聽,들을 청,耳,22획,4급
廳,관청 청,广,25획,4급
招,부를 초,手,8획,4급
推,밀 추,手,11획,4급
縮,줄일 축,糸,17획,4급
就,나아갈 취,尢,12획,4급
趣,뜻 취,走,15획,4급
層,층 층,尸,15획,4급
寢,잘 침,宀,14획,4급
針,바늘 침,金,10획,4급
稱,일컬을 칭,禾,14획,4급
歎,탄식할 탄,欠,15획,4급
彈,탄알 탄,弓,15획,4급
脫,벗을 탈,肉,11획,4급
探,찾을 탐,手,11획,4급
擇,가릴 택,手,16획,4급
討,칠 토,言,10획,4급
痛,아플 통,疒,12획,4급
投,던질 투,手,7획,4급
鬪,싸움 투,鬥,20획,4급
派,갈래 파,水,9획,4급
判,판단할 판,刀,7획,4급
篇,책 편,竹,15획,4급
評,평할 평,言,12획,4급
閉,닫을 폐,門,11획,4급
胞,세포 포,肉,9획,4급
爆,불터질 폭,火,19획,4급
標,표할 표,木,15획,4급
疲,피곤할 피,疒,10획,4급
避,피할 피,辵,17획,4급
閑,한가할 한,門,12획,4급
恨,한 한,心,9획,4급
抗,겨룰 항,手,7획,4급
核,씨 핵,木,10획,4급
憲,법 헌,心,16획,4급
險,험할 험,阜,16획,4급
革,가죽 혁,革,9획,4급
顯,나타날 현,頁,23획,4급
刑,형벌 형,刀,6획,4급
或,혹 혹,戈,8획,4급
婚,혼인할 혼,女,11획,4급
混,섞을 혼,水,11획,4급
紅,붉을 홍,糸,9획,4급
華,빛날 화,艸,11획,4급
歡,기쁠 환,欠,22획,4급
環,고리 환,玉,17획,4급
況,상황 황,水,8획,4급
灰,재 회,火,6획,4급
厚,두터울 후,厂,9획,4급
候,기후 후,人,10획,4급
揮,휘두를 휘,手,12획,4급
喜,기쁠 희,口,12획,4급
假,거짓 가,人,11획,준4급
街,거리 가,行,12획,준4급
減,덜 감,水,12획,준4급
監,볼 감,皿,14획,준4급
講,욀 강,言,17획,준4급
康,편안 강,广,11획,준4급
個,낱 개,人,10획,준4급
檢,검사할 검,木,17획,준4급
潔,깨끗할 결,水,15획,준4급
缺,이지러질 결,缶,10획,준4급
境,지경 경,土,14획,준4급
經,지날/글 경,糸,13획,준4급
警,깨우칠 경,言,20획,준4급
慶,경사 경,心,15획,준4급
係,맬 계,人,9획,준4급
故,연고 고,攴,9획,준4급
官,벼슬 관,宀,8획,준4급
求,구할 구,水,7획,준4급
句,글귀 구,口,5획,준4급
究,연구할 구,穴,7획,준4급
宮,집 궁,宀,10획,준4급
權,권세 권,木,21획,준4급
極,다할/극진할 극,木,13획,준4급
禁,금할 금,示,13획,준4급
器,그릇 기,口,16획,준4급
起,일어날 기,走,10획,준4급
暖,"따뜻한/뜨거울 난",日,13획,준4급
難,어려울 난,隹,19획,준4급
怒,성낼 노,心,9획,준4급
努,힘쓸 노,力,7획,준4급
斷,끊을 단,斤,18획,준4급
單,홑 단오랑캐 이름 선 ,口,12획,준4급
檀,박달나무 단,木,17획,준4급
端,끝 단,立,14획,준4급
達,통달할 달,辵,13획,준4급
擔,멜 담,手,16획,준4급
黨,무리 당,黑,20획,준4급
帶,띠 대,巾,11획,준4급
隊,무리 대,阜,12획,준4급
導,인도할 도,寸,16획,준4급
毒,독 독,毋,9획,준4급
督,감독할 독,目,13획,준4급
銅,구리 동,金,14획,준4급
斗,말 두,斗,4획,준4급
豆,콩 두,豆,7획,준4급
得,얻을 득,彳,11획,준4급
燈,등 등,火,16획,준4급
羅,벌릴 라,网,19획,준4급
兩,두 량,入,8획,준4급
麗,"고울 려, 나라 이름 리",鹿,19획,준4급
連,이을 련,辵,11획,준4급
列,벌릴 렬,刀,6획,준4급
錄,기록할 록,金,16획,준4급
論,논할 론,言,15획,준4급
留,머무를 류,田,10획,준4급
律,법칙 률,彳,9획,준4급
滿,찰 만,水,14획,준4급
脈,줄기 맥,肉,10획,준4급
毛,털 모,毛,4획,준4급
牧,칠 목,牛,8획,준4급
務,힘쓸 무,力,11획,준4급
武,호반 무,止,8획,준4급
未,아닐 미,木,5획,준4급
味,맛 미,口,8획,준4급
密,빽빽할 밀,宀,11획,준4급
博,넓을 박,十,12획,준4급
防,막을 방,阜,7획,준4급
房,방 방,戶,8획,준4급
訪,찾을 방,言,11획,준4급
拜,절 배,手,9획,준4급
背,등 배,肉,9획,준4급
配,나눌/짝 배,酉,10획,준4급
罰,벌할 벌,网,14획,준4급
伐,칠 벌,人,6획,준4급
壁,벽 벽,土,16획,준4급
邊,가 변,辵,19획,준4급
保,지킬 보,人,9획,준4급
步,걸음 보,止,7획,준4급
報,갚을/알릴 보,土,12획,준4급
寶,보배 보,宀,20획,준4급
復,"회복할 복, 다시 부",彳,12획,준4급
府,마을 부,广,8획,준4급
富,부자 부,宀,12획,준4급
副,버금 부,刀,11획,준4급
婦,며느리 부,女,11획,준4급
佛,부처 불,人,7획,준4급
飛,날 비,飛,9획,준4급
備,갖출 비,人,12획,준4급
非,아닐 비,非,8획,준4급
悲,슬플 비,心,12획,준4급
貧,가난할 빈,貝,11획,준4급
寺,절 사,寸,6획,준4급
師,스승 사,巾,10획,준4급
謝,사례할 사,言,17획,준4급
舍,집 사,舌,8획,준4급
殺,죽일 살,殳,11획,준4급
常,떳떳할 상,巾,11획,준4급
床,상 상,广,7획,준4급
想,생각 상,心,13획,준4급
狀,"형상 상, 문서 장",犬,8획,준4급
設,베풀 설,言,11획,준4급
誠,정성 성,言,14획,준4급
聲,소리 성,耳,17획,준4급
盛,성할 성,皿,12획,준4급
聖,성인 성,耳,13획,준4급
城,재 성,土,10획,준4급
星,별 성,日,9획,준4급
勢,형세 세,力,13획,준4급
稅,세금 세,禾,12획,준4급
細,가늘 세,糸,11획,준4급
笑,웃음 소,竹,10획,준4급
掃,쓸 소,手,11획,준4급
素,본디/흴 소,糸,10획,준4급
續,이을 속,糸,21획,준4급
俗,풍속 속,人,9획,준4급
送,보낼 송,辵,10획,준4급
修,닦을 수,人,10획,준4급
受,받을 수,又,8획,준4급
守,지킬 수,宀,6획,준4급
授,줄 수,手,11획,준4급
收,거둘 수,攴,6획,준4급
純,순수할 순,糸,10획,준4급
承,이을 승,手,8획,준4급
詩,시 시,言,13획,준4급
試,시험 시,言,13획,준4급
視,볼 시,見,12획,준4급
施,베풀 시,方,9획,준4급
是,이/옳을 시,日,9획,준4급
息,쉴 식,心,10획,준4급
申,납 신,田,5획,준4급
深,깊을 심,水,11획,준4급
眼,눈 안,目,11획,준4급
暗,어두울 암,日,13획,준4급
壓,누를 압,土,17획,준4급
液,진 액,水,11획,준4급
羊,양 양,羊,6획,준4급
餘,남을 여,食,16획,준4급
如,같을 여,女,6획,준4급
逆,거스릴 역,辵,10획,준4급
煙,연기 연,火,13획,준4급
硏,갈 연,石,11획,준4급
演,펼 연,水,14획,준4급
榮,영화 영,木,14획,준4급
藝,재주 예,艸,19획,준4급
誤,그르칠 오,言,14획,준4급
玉,구슬 옥,玉,5획,준4급
往,갈 왕,彳,8획,준4급
謠,노래 요,言,17획,준4급
容,얼굴 용,宀,10획,준4급
圓,둥글 원,囗,13획,준4급
員,인원 원,口,10획,준4급
衛,지킬 위,行,15획,준4급
爲,하/할 위,爪,12획,준4급
肉,고기 육,肉,6획,준4급
恩,은혜 은,心,10획,준4급
陰,그늘 음,阜,11획,준4급
應,응할 응,心,17획,준4급
議,의논할 의,言,20획,준4급
義,옳을 의,羊,13획,준4급
移,옮길 이,禾,11획,준4급
益,더할 익,皿,10획,준4급
印,도장 인,卩,6획,준4급
引,끌 인,弓,4획,준4급
認,알 인,言,14획,준4급
將,장수 장,寸,11획,준4급
障,막을 장,阜,14획,준4급
低,낮을 저,人,7획,준4급
敵,대적할 적,攴,15획,준4급
田,밭 전,田,5획,준4급
絶,끊을 절,糸,12획,준4급
接,이을 접,手,11획,준4급
政,정사 정,攴,9획,준4급
程,한도/길 정,禾,12획,준4급
精,정할 정,米,14획,준4급
濟,건널 제,水,17획,준4급
提,끌 제,手,12획,준4급
制,절제할 제,刀,8획,준4급
製,지을 제,衣,14획,준4급
除,덜 제,阜,10획,준4급
際,즈음/가 제,阜,14획,준4급
祭,제사 제,示,11획,준4급
鳥,새 조,鳥,11획,준4급
助,도울 조,力,7획,준4급
早,이를/일찍 조,日,6획,준4급
造,지을 조,辵,11획,준4급
尊,높을 존,寸,12획,준4급
宗,마루 종,宀,8획,준4급
走,달릴 주,走,7획,준4급
竹,대 죽,竹,6획,준4급
準,준할 준,水,13획,준4급
衆,무리 중,血,12획,준4급
增,더할 증,土,15획,준4급
志,뜻 지,心,7획,준4급
指,가리킬 지,手,9획,준4급
支,지탱할 지,支,4획,준4급
至,이를 지,至,6획,준4급
職,직분 직,耳,18획,준4급
進,나아갈 진,辵,12획,준4급
眞,참 진,目,10획,준4급
次,버금 차,欠,6획,준4급
察,살필 찰,宀,14획,준4급
創,비롯할 창,刀,12획,준4급
處,곳 처,虍,11획,준4급
請,청할 청,言,15획,준4급
總,다 총,糸,17획,준4급
銃,총 총,金,14획,준4급
築,쌓을 축,竹,16획,준4급
蓄,모을 축,艸,14획,준4급
忠,충성 충,心,8획,준4급
蟲,벌레 충,虫,18획,준4급
取,가질 취,又,8획,준4급
測,헤아릴 측,水,12획,준4급
治,다스릴 치,水,8획,준4급
置,둘 치,网,13획,준4급
齒,이 치,齒,15획,준4급
侵,침노할 침,人,9획,준4급
快,쾌할 쾌,心,7획,준4급
態,모습 태,心,14획,준4급
統,거느릴 통,糸,12획,준4급
退,물러날 퇴,辵,10획,준4급
波,물결 파,水,8획,준4급
破,깨뜨릴 파,石,10획,준4급
砲,대포 포,石,10획,준4급
包,쌀 포,勹,5획,준4급
布,"베/펼 포, 보시 보",巾,5획,준4급
暴,"사나울 폭, 모질 포",日,15획,준4급
票,표 표,示,11획,준4급
豊,풍년 풍,豆,13획,준4급
限,한할 한,阜,9획,준4급
航,배 항,舟,10획,준4급
港,항구 항,水,12획,준4급
解,풀 해,角,13획,준4급
鄕,시골 향,邑,13획,준4급
香,향기 향,香,9획,준4급
虛,빌 허,虍,12획,준4급
驗,시험 험,馬,23획,준4급
賢,어질 현,貝,15획,준4급
血,피 혈,血,6획,준4급
協,화할 협,十,8획,준4급
惠,은혜 혜,心,12획,준4급
好,좋을 호,女,6획,준4급
戶,집 호,戶,4획,준4급
護,도울 호,言,21획,준4급
呼,부를 호,口,8획,준4급
貨,재물 화,貝,11획,준4급
確,굳을 확,石,15획,준4급
回,돌아올 회,囗,6획,준4급
吸,마실 흡,口,7획,준4급
興,일 흥,臼,16획,준4급
希,바랄 희,巾,7획,준4급
