hanja,kor,radical,total_num_of_strokes,level
加,더할 가,力,5획,5급
可,옳을 가,口,5획,5급
改,고칠 개,攴,7획,5급
擧,들 거,手,18획,5급
去,갈 거,厶,5획,5급
件,물건 건,人,6획,5급
建,세울 건,廴,9획,5급
健,굳셀 건,人,11획,5급
輕,가벼울 경,車,14획,5급
競,다툴 경,立,20획,5급
景,볕 경,日,12획,5급
考,생각할 고,老,6획,5급
固,굳을 고,囗,8획,5급
曲,굽을 곡,曰,6획,5급
橋,다리 교,木,16획,5급
救,구원할 구,攴,11획,5급
貴,귀할 귀,貝,12획,5급
規,법 규,見,11획,5급
給,줄 급,糸,12획,5급
汽,물끓는김 기,水,7획,5급
期,기약할 기,月,12획,5급
技,재주 기,手,7획,5급
吉,길할 길,口,6획,5급
壇,단 단,土,16획,5급
談,말씀 담,言,15획,5급
都,도읍 도,邑,12획,5급
島,섬 도,山,10획,5급
落,떨어질 락,艸,13획,5급
冷,찰 랭,冫,7획,5급
量,헤아릴 량,里,12획,5급
領,거느릴 령,頁,14획,5급
令,하여금 령,人,5획,5급
料,헤아릴 료,斗,10획,5급
馬,말 마,馬,10획,5급
末,끝 말,木,5획,5급
亡,망할 망,亠,3획,5급
買,살 매,貝,12획,5급
賣,팔 매,貝,15획,5급
無,없을 무,火,12획,5급
倍,곱 배,人,10획,5급
比,견줄 비,比,4획,5급
費,쓸 비,貝,12획,5급
鼻,코 비,鼻,14획,5급
氷,얼음 빙,水,5획,5급
寫,베낄 사,宀,15획,5급
思,생각 사,心,9획,5급
査,조사할 사,木,9획,5급
賞,상줄 상,貝,15획,5급
序,차례 서,广,7획,5급
善,착할 선,口,12획,5급
選,가릴 선,辵,16획,5급
船,배 선,舟,11획,5급
示,보일 시,示,5획,5급
案,책상 안,木,10획,5급
漁,고기잡을 어,水,14획,5급
魚,고기/물고기 어,魚,11획,5급
億,억 억,人,15획,5급
熱,더울 열,火,15획,5급
葉,잎 엽,艸,13획,5급
屋,집 옥,尸,9획,5급
完,완전할 완,宀,7획,5급
曜,빛날 요,日,18획,5급
浴,목욕할 욕,水,10획,5급
牛,소 우,牛,4획,5급
雄,수컷 웅,隹,12획,5급
原,언덕 원,厂,10획,5급
院,집 원,阜,10획,5급
願,원할 원,頁,19획,5급
位,자리 위,人,7획,5급
耳,귀 이,耳,6획,5급
因,인할 인,囗,6획,5급
災,재앙 재,火,7획,5급
再,두 재,冂,6획,5급
爭,다툴 쟁,爪,8획,5급
貯,쌓을 저,貝,12획,5급
