hanja,kor,radical,total_num_of_strokes,level
匸,감출 혜,匸,2획,미배정
臼,절구 구,臼,6획,1급
丿,삐침 별,丿,1획,미배정
一,한 일,一,1획,8급
羊,양 양,羊,6획,준4급
厂,기슭 한,厂,2획,미배정
鬼,귀신 귀,鬼,10획,준3급
龜,"거북 구/귀, 터질 균",龜,16획,3급
止,그칠 지,止,4획,5급
斤,근/날 근,斤,4획,3급
禸,발자국 유,禸,5획,미배정
示,보일 시,示,5획,5급
又,또 우,又,2획,3급
气,기운 기,气,4획,미배정
豆,콩 두,豆,7획,준4급
走,달릴 주,走,7획,준4급
无,없을 무,无,4획,준특급
月,달 월,月,4획,8급
幺,작을 요,幺,3획,미배정
方,모 방,方,4획,준7급
己,몸 기,己,3획,준5급
隹,새 추,隹,8획,미배정
十,열 십,十,2획,8급
入,들 입,入,2획,7급
而,말이을 이,而,6획,3급
辰,"별 진, 때 신",辰,7획,준3급
夕,저녁 석,夕,3획,7급
丶,점 주,丶,1획,미배정
殳,창 수,殳,4획,특급
米,쌀 미,米,6획,6급
黑,검을 흑,黑,12획,5급
巾,수건 건,巾,3획,1급
寸,마디 촌,寸,3획,8급
至,이를 지,至,6획,준4급
山,메 산,山,3획,8급
毋,말 무,毋,4획,1급
豕,돼지 시,豕,7획,준특급
冫,얼음 빙,冫,2획,미배정
斗,말 두,斗,4획,준4급
屮,싹날 철,屮,3획,미배정
火,불 화,火,4획,8급
网,그물 망,网,6획,미배정
里,마을 리,里,7획,7급
艮,괘이름 간,艮,6획,2급
鹿,사슴 록,鹿,11획,3급
耳,귀 이,耳,6획,5급
衣,옷 의,衣,6획,6급
雨,비 우,雨,8획,준5급
隶,미칠 이/대,隶,8획,미배정
廾,받들 공,廾,3획,미배정
亅,갈고리 궐,亅,1획,미배정
龍,용 룡,龍,16획,4급
玄,검을 현,玄,5획,준3급
臣,신하 신,臣,6획,준5급
麻,삼 마,麻,11획,준3급
麥,보리 맥,麥,11획,준3급
面,낯 면,面,9획,7급
豸,벌레 치,豸,7획,미배정
毛,털 모,毛,4획,준4급
冂,멀 경,冂,2획,특급
舛,어그러질 천,舛,6획,준특급
文,글월 문,文,4획,7급
勹,쌀 포,勹,2획,미배정
氏,각시/성씨 씨,氏,4획,4급
虫,벌레 훼,虫,6획,특급
舟,배 주,舟,6획,3급
髟,늘어질 표,髟,10획,미배정
戶,집 호,戶,4획,준4급
酉,닭 유,酉,7획,3급
飛,날 비,飛,9획,준4급
几,안석 궤,几,2획,1급
辛,매울 신,辛,7획,3급
疒,병들어기댈 녁,疒,5획,미배정
卜,점 복,卜,2획,3급
襾,덮을 아,襾,6획,미배정
父,아비 부,父,4획,8급
匕,비수 비,匕,2획,1급
鼻,코 비,鼻,14획,5급
比,견줄 비,比,4획,5급
非,아닐 비,非,8획,준4급
士,선비 사,士,3획,준5급
歹,"뼈앙상할 알, 나쁠 대",歹,4획,특급
舌,혀 설,舌,6획,4급
生,날 생,生,5획,8급
小,작을 소,小,3획,8급
色,빛 색,色,6획,7급
釆,나눌 변,釆,7획,특급
魚,고기/물고기 어,魚,11획,5급
疋,짝 필,疋,5획,1급
首,머리 수,首,9획,준5급
聿,붓 율,聿,6획,준특급
巛,내 천,巛,3획,미배정
羽,깃 우,羽,6획,준3급
弋,주살 익,弋,3획,특급
身,몸 신,身,7획,준6급
牙,어금니 아,牙,4획,준3급
二,두 이,二,2획,8급
鹵,개펄 로,鹵,11획,준특급
彡,터럭 삼,彡,3획,미배정
瓦,기와 와,瓦,5획,준3급
用,쓸 용,用,5획,준6급
尢,절름발이 왕,尢,3획,미배정
音,소리 음,音,9획,준6급
爪,손톱 조,爪,4획,1급
自,스스로 자,自,6획,준7급
長,긴 장,長,8획,8급
赤,붉을 적,赤,7획,5급
靑,푸를 청,靑,8획,8급
齊,가지런할 제,齊,14획,준3급
血,피 혈,血,6획,준4급
丨,뚫을 곤,丨,1획,미배정
支,지탱할 지,支,4획,준4급
虍,호피무늬 호,虍,6획,미배정
凵,입벌릴 감,凵,2획,미배정
齒,이 치,齒,15획,준4급
鬥,싸울 투,鬥,10획,미배정
片,조각 편,片,4획,준3급
風,바람 풍,風,9획,준6급
皮,가죽 피,皮,5획,준3급
夊,천천히걸을 쇠,夊,3획,미배정
韋,가죽 위,韋,9획,2급
香,향기 향,香,9획,준4급
革,가죽 혁,革,9획,4급
黃,누를 황,黃,12획,6급
